L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1E3G,1T5Z,21,21,20,0,,,False
1E3G,2AM9,21,21,20,0,,,False
1E3G,2AMB,21,23,21,0,,,False
1E3G,2AX9,21,21,0,0,,,False
1E3G,2AXA,21,28,0,0,,,False
1E3G,2HVC,21,26,0,0,,,False
1E3G,2PNU,21,32,20,0,,,False
1E3G,3B5R,21,28,0,0,,,False
1E3G,3B65,21,25,0,0,,,False
1E3G,3B66,21,29,0,0,,,False
1E3G,3B67,21,32,0,0,,,False
1E3G,3B68,21,31,0,0,,,False
1E3G,3RLJ,21,28,0,0,,,False
1E3G,3V49,21,28,0,0,,,False
1E3G,3V4A,21,24,0,0,,,False
1E3G,4QL8,21,21,6,0,,,False
1E3G,5CJ6,21,18,7,0,,,False
1E3G,5T8E,21,17,6,0,,,False
1E3G,5T8J,21,18,7,0,,,False
1E3G,5V8Q,21,21,6,0,,,False
1T5Z,2AM9,21,21,21,0,,,False
1T5Z,2AMB,21,23,20,0,,,False
1T5Z,2AX9,21,21,0,0,,,False
1T5Z,2AXA,21,28,0,0,,,False
1T5Z,2HVC,21,26,0,0,,,False
1T5Z,2PNU,21,32,21,0,,,False
1T5Z,3B5R,21,28,0,0,,,False
1T5Z,3B65,21,25,0,0,,,False
1T5Z,3B66,21,29,0,0,,,False
1T5Z,3B67,21,32,0,0,,,False
1T5Z,3B68,21,31,0,0,,,False
1T5Z,3RLJ,21,28,0,0,,,False
1T5Z,3V49,21,28,0,0,,,False
1T5Z,3V4A,21,24,0,0,,,False
1T5Z,4QL8,21,21,6,0,,,False
1T5Z,5CJ6,21,18,6,0,,,False
1T5Z,5T8E,21,17,6,0,,,False
1T5Z,5T8J,21,18,6,0,,,False
1T5Z,5V8Q,21,21,6,0,,,False
2AM9,2AMB,21,23,20,0,,,False
2AM9,2AX9,21,21,0,0,,,False
2AM9,2AXA,21,28,0,0,,,False
2AM9,2HVC,21,26,0,0,,,False
2AM9,2PNU,21,32,21,0,,,False
2AM9,3B5R,21,28,0,0,,,False
2AM9,3B65,21,25,0,0,,,False
2AM9,3B66,21,29,0,0,,,False
2AM9,3B67,21,32,0,0,,,False
2AM9,3B68,21,31,0,0,,,False
2AM9,3RLJ,21,28,0,0,,,False
2AM9,3V49,21,28,0,0,,,False
2AM9,3V4A,21,24,0,0,,,False
2AM9,4QL8,21,21,6,0,,,False
2AM9,5CJ6,21,18,6,0,,,False
2AM9,5T8E,21,17,6,0,,,False
2AM9,5T8J,21,18,6,0,,,False
2AM9,5V8Q,21,21,6,0,,,False
2AMB,2AX9,23,21,0,0,,,False
2AMB,2AXA,23,28,0,0,,,False
2AMB,2HVC,23,26,0,0,,,False
2AMB,2PNU,23,32,21,0,,,False
2AMB,3B5R,23,28,0,0,,,False
2AMB,3B65,23,25,0,0,,,False
2AMB,3B66,23,29,0,0,,,False
2AMB,3B67,23,32,0,0,,,False
2AMB,3B68,23,31,0,0,,,False
2AMB,3RLJ,23,28,0,0,,,False
2AMB,3V49,23,28,0,0,,,False
2AMB,3V4A,23,24,0,0,,,False
2AMB,4QL8,23,21,6,0,,,False
2AMB,5CJ6,23,18,7,0,,,False
2AMB,5T8E,23,17,6,0,,,False
2AMB,5T8J,23,18,7,0,,,False
2AMB,5V8Q,23,21,7,0,,,False
2AX9,2AXA,21,28,20,0,,,False
2AX9,2HVC,21,26,10,0,,,False
2AX9,2PNU,21,32,7,0,,,False
2AX9,3B5R,21,28,17,0,,,False
2AX9,3B65,21,25,13,0,,,False
2AX9,3B66,21,29,16,0,,,False
2AX9,3B67,21,32,20,0,,,False
2AX9,3B68,21,31,20,0,,,False
2AX9,3RLJ,21,28,17,0,,,False
2AX9,3V49,21,28,10,0,,,False
2AX9,3V4A,21,24,6,0,,,False
