L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2VT4,2Y00,21,22,7,0,,,False
2VT4,2Y01,21,22,7,0,,,False
2VT4,2Y02,21,27,8,0,,,False
2VT4,2Y03,21,15,7,0,,,False
2VT4,2Y04,21,17,7,0,,,False
2VT4,2YCW,21,22,16,0,,,False
2VT4,2YCX,21,21,21,0,,,False
2VT4,2YCY,21,21,21,0,,,False
2VT4,2YCZ,21,22,21,0,,,False
2VT4,3ZPQ,21,15,9,0,,,False
2VT4,3ZPR,21,17,6,0,,,False
2VT4,4AMI,21,27,16,0,,,False
2VT4,4AMJ,21,30,15,0,,,False
2VT4,4BVN,21,21,21,0,,,False
2VT4,5A8E,21,22,21,0,,,False
2Y00,2Y01,22,22,22,0,,,False
2Y00,2Y02,22,27,13,0,,,False
2Y00,2Y03,22,15,14,0,,,False
2Y00,2Y04,22,17,13,0,,,False
2Y00,2YCW,22,22,7,0,,,False
2Y00,2YCX,22,21,7,0,,,False
2Y00,2YCY,22,21,7,0,,,False
2Y00,2YCZ,22,22,7,0,,,False
2Y00,3ZPQ,22,15,6,0,,,False
2Y00,3ZPR,22,17,6,0,,,False
2Y00,4AMI,22,27,7,0,,,False
2Y00,4AMJ,22,30,8,0,,,False
2Y00,4BVN,22,21,7,0,,,False
2Y00,5A8E,22,22,8,0,,,False
2Y01,2Y02,22,27,13,0,,,False
2Y01,2Y03,22,15,14,0,,,False
2Y01,2Y04,22,17,13,0,,,False
2Y01,2YCW,22,22,7,0,,,False
2Y01,2YCX,22,21,7,0,,,False
2Y01,2YCY,22,21,7,0,,,False
2Y01,2YCZ,22,22,7,0,,,False
2Y01,3ZPQ,22,15,6,0,,,False
2Y01,3ZPR,22,17,6,0,,,False
2Y01,4AMI,22,27,7,0,,,False
2Y01,4AMJ,22,30,8,0,,,False
2Y01,4BVN,22,21,7,0,,,False
2Y01,5A8E,22,22,8,0,,,False
2Y02,2Y03,27,15,14,0,,,False
2Y02,2Y04,27,17,14,0,,,False
2Y02,2YCW,27,22,8,0,,,False
2Y02,2YCX,27,21,8,0,,,False
2Y02,2YCY,27,21,8,0,,,False
2Y02,2YCZ,27,22,8,0,,,False
2Y02,3ZPQ,27,15,9,0,,,False
2Y02,3ZPR,27,17,10,0,,,False
2Y02,4AMI,27,27,8,0,,,False
2Y02,4AMJ,27,30,8,0,,,False
2Y02,4BVN,27,21,8,0,,,False
2Y02,5A8E,27,22,9,0,,,False
2Y03,2Y04,15,17,14,0,,,False
2Y03,2YCW,15,22,7,0,,,False
2Y03,2YCX,15,21,7,0,,,False
2Y03,2YCY,15,21,7,0,,,False
2Y03,2YCZ,15,22,7,0,,,False
2Y03,3ZPQ,15,15,6,0,,,False
2Y03,3ZPR,15,17,6,0,,,False
2Y03,4AMI,15,27,7,0,,,False
2Y03,4AMJ,15,30,8,0,,,False
2Y03,4BVN,15,21,7,0,,,False
2Y03,5A8E,15,22,8,0,,,False
2Y04,2YCW,17,22,7,0,,,False
2Y04,2YCX,17,21,7,0,,,False
2Y04,2YCY,17,21,7,0,,,False
2Y04,2YCZ,17,22,7,0,,,False
2Y04,3ZPQ,17,15,6,0,,,False
2Y04,3ZPR,17,17,6,0,,,False
2Y04,4AMI,17,27,8,0,,,False
2Y04,4AMJ,17,30,7,0,,,False
2Y04,4BVN,17,21,7,0,,,False
2Y04,5A8E,17,22,8,0,,,False
2YCW,2YCX,22,21,16,0,,,False
2YCW,2YCY,22,21,16,0,,,False
2YCW,2YCZ,22,22,16,0,,,False
2YCW,3ZPQ,22,15,7,0,,,False
2YCW,3ZPR,22,17,6,0,,,False
2YCW,4AMI,22,27,15,0,,,False
2YCW,4AMJ,22,30,21,0,,,False
2YCW,4BVN,22,21,16,0,,,False
2YCW,5A8E,22,22,16,0,,,False
2YCX,2YCY,21,21,21,0,,,False
2YCX,2YCZ,21,22,21,0,,,False
2YCX,3ZPQ,21,15,9,0,,,False
2YCX,3ZPR,21,17,6,0,,,False
2YCX,4AMI,21,27,16,0,,,False
2YCX,4AMJ,21,30,15,0,,,False
2YCX,4BVN,21,21,21,0,,,False
2YCX,5A8E,21,22,21,0,,,False
2YCY,2YCZ,21,22,21,0,,,False
2YCY,3ZPQ,21,15,9,0,,,False
2YCY,3ZPR,21,17,6,0,,,False
2YCY,4AMI,21,27,16,0,,,False
2YCY,4AMJ,21,30,15,0,,,False
2YCY,4BVN,21,21,21,0,,,False
2YCY,5A8E,21,22,21,0,,,False
2YCZ,3ZPQ,22,15,9,0,,,False
2YCZ,3ZPR,22,17,6,0,,,False
2YCZ,4AMI,22,27,16,0,,,False
2YCZ,4AMJ,22,30,15,0,,,False
2YCZ,4BVN,22,21,21,0,,,False
2YCZ,5A8E,22,22,21,0,,,False
3ZPQ,3ZPR,15,17,9,0,,,False
3ZPQ,4AMI,15,27,9,0,,,False
3ZPQ,4AMJ,15,30,7,0,,,False
3ZPQ,4BVN,15,21,9,0,,,False
3ZPQ,5A8E,15,22,9,0,,,False
3ZPR,4AMI,17,27,6,0,,,False
3ZPR,4AMJ,17,30,6,0,,,False
3ZPR,4BVN,17,21,6,0,,,False
3ZPR,5A8E,17,22,6,0,,,False
4AMI,4AMJ,27,30,14,0,,,False
4AMI,4BVN,27,21,16,0,,,False
4AMI,5A8E,27,22,16,0,,,False
4AMJ,4BVN,30,21,15,0,,,False
4AMJ,5A8E,30,22,15,0,,,False
4BVN,5A8E,21,22,21,0,,,False
