L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1FKN,1M4H,63,66,61,0,,,False
1FKN,2FDP,63,41,12,0,,,False
1FKN,2G94,63,45,29,0,,,False
1FKN,2P4J,63,49,24,0,,,False
1FKN,2QMG,63,44,13,0,,,False
1FKN,2VKM,63,47,13,0,,,False
1FKN,3BRA,63,10,9,0,,,False
1FKN,3BUF,63,11,10,0,,,False
1FKN,3BUG,63,12,9,0,,,False
1FKN,3BUH,63,16,9,0,,,False
1FKN,3CKP,63,40,13,0,,,False
1FKN,3I25,63,63,18,0,,,False
1FKN,3KMX,63,17,7,0,,,False
1FKN,3KMY,63,16,8,0,,,False
1FKN,3L59,63,17,7,0,,,False
1FKN,3LPI,63,46,13,0,,,False
1FKN,3LPK,63,48,13,0,,,False
1FKN,3RSX,63,16,6,0,,,False
1FKN,3RU1,63,23,6,0,,,False
1FKN,3UDH,63,14,6,0,,,False
1FKN,4DJU,63,20,6,0,,,False
1FKN,4DJV,63,28,6,0,,,False
1FKN,4DJW,63,26,6,0,,,False
1FKN,4DJX,63,24,6,0,,,False
1M4H,2FDP,66,41,12,0,,,False
1M4H,2G94,66,45,31,0,,,False
1M4H,2P4J,66,49,26,0,,,False
1M4H,2QMG,66,44,13,0,,,False
1M4H,2VKM,66,47,13,0,,,False
1M4H,3BRA,66,10,9,0,,,False
1M4H,3BUF,66,11,10,0,,,False
1M4H,3BUG,66,12,9,0,,,False
1M4H,3BUH,66,16,9,0,,,False
1M4H,3CKP,66,40,13,0,,,False
1M4H,3I25,66,63,20,0,,,False
1M4H,3KMX,66,17,7,0,,,False
1M4H,3KMY,66,16,8,0,,,False
1M4H,3L59,66,17,7,0,,,False
1M4H,3LPI,66,46,13,0,,,False
1M4H,3LPK,66,48,13,0,,,False
1M4H,3RSX,66,16,6,0,,,False
1M4H,3RU1,66,23,6,0,,,False
1M4H,3UDH,66,14,6,0,,,False
1M4H,4DJU,66,20,6,0,,,False
1M4H,4DJV,66,28,6,0,,,False
1M4H,4DJW,66,26,6,0,,,False
1M4H,4DJX,66,24,6,0,,,False
2FDP,2G94,41,45,12,0,,,False
2FDP,2P4J,41,49,23,0,,,False
2FDP,2QMG,41,44,20,0,,,False
2FDP,2VKM,41,47,24,0,,,False
2FDP,3BRA,41,10,9,0,,,False
2FDP,3BUF,41,11,10,0,,,False
2FDP,3BUG,41,12,9,0,,,False
2FDP,3BUH,41,16,9,0,,,False
2FDP,3CKP,41,40,12,0,,,False
2FDP,3I25,41,63,22,0,,,False
2FDP,3KMX,41,17,7,0,,,False
2FDP,3KMY,41,16,8,0,,,False
2FDP,3L59,41,17,7,0,,,False
2FDP,3LPI,41,46,27,0,,,False
2FDP,3LPK,41,48,20,0,,,False
2FDP,3RSX,41,16,7,0,,,False
2FDP,3RU1,41,23,7,0,,,False
2FDP,3UDH,41,14,6,0,,,False
2FDP,4DJU,41,20,6,0,,,False
2FDP,4DJV,41,28,6,0,,,False
2FDP,4DJW,41,26,6,0,,,False
2FDP,4DJX,41,24,6,0,,,False
2G94,2P4J,45,49,25,0,,,False
2G94,2QMG,45,44,7,0,,,False
2G94,2VKM,45,47,8,0,,,False
2G94,3BRA,45,10,0,0,,,False
2G94,3BUF,45,11,0,0,,,False
2G94,3BUG,45,12,0,0,,,False
2G94,3BUH,45,16,0,0,,,False
2G94,3CKP,45,40,8,0,,,False
2G94,3I25,45,63,20,0,,,False
2G94,3KMX,45,17,0,0,,,False
2G94,3KMY,45,16,0,0,,,False
2G94,3L59,45,17,0,0,,,False
2G94,3LPI,45,46,7,0,,,False
2G94,3LPK,45,48,7,0,,,False
2G94,3RSX,45,16,0,0,,,False
2G94,3RU1,45,23,6,0,,,False
2G94,3UDH,45,14,0,0,,,False
2G94,4DJU,45,20,0,0,,,False
2G94,4DJV,45,28,0,0,,,False
2G94,4DJW,45,26,0,0,,,False
2G94,4DJX,45,24,0,0,,,False
2P4J,2QMG,49,44,15,0,,,False
2P4J,2VKM,49,47,31,0,,,False
2P4J,3BRA,49,10,8,0,,,False
2P4J,3BUF,49,11,8,0,,,False
2P4J,3BUG,49,12,8,0,,,False
2P4J,3BUH,49,16,8,0,,,False
2P4J,3CKP,49,40,15,0,,,False
2P4J,3I25,49,63,43,0,,,False
2P4J,3KMX,49,17,7,0,,,False
2P4J,3KMY,49,16,8,0,,,False
2P4J,3L59,49,17,7,0,,,False
2P4J,3LPI,49,46,18,0,,,False
2P4J,3LPK,49,48,15,0,,,False
2P4J,3RSX,49,16,7,0,,,False
2P4J,3RU1,49,23,7,0,,,False
2P4J,3UDH,49,14,6,0,,,False
2P4J,4DJU,49,20,6,0,,,False
2P4J,4DJV,49,28,6,0,,,False
2P4J,4DJW,49,26,6,0,,,False
2P4J,4DJX,49,24,6,0,,,False
2QMG,2VKM,44,47,21,0,,,False
2QMG,3BRA,44,10,9,0,,,False
2QMG,3BUF,44,11,10,0,,,False
2QMG,3BUG,44,12,9,0,,,False
2QMG,3BUH,44,16,9,0,,,False
2QMG,3CKP,44,40,13,0,,,False
2QMG,3I25,44,63,15,0,,,False
2QMG,3KMX,44,17,8,0,,,False
2QMG,3KMY,44,16,9,0,,,False
2QMG,3L59,44,17,11,0,,,False
2QMG,3LPI,44,46,24,0,,,False
