L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1UWH,2FB8,32,34,7,0,,,False
1UWH,3C4C,32,27,9,0,,,False
1UWH,3D4Q,32,28,6,0,,,False
1UWH,3IDP,32,35,8,0,,,False
1UWH,3II5,32,38,9,0,,,False
1UWH,3PPJ,32,25,0,0,,,False
1UWH,3PPK,32,30,7,0,,,False
1UWH,3PRF,32,24,8,0,,,False
1UWH,3PRI,32,29,7,0,,,False
1UWH,3PSB,32,26,7,0,,,False
1UWH,3PSD,32,29,6,0,,,False
1UWH,3Q4C,32,34,7,0,,,False
1UWH,3Q96,32,39,13,0,,,False
1UWH,3SKC,32,32,9,0,,,False
1UWH,3TV4,32,26,9,0,,,False
1UWH,3TV6,32,29,9,0,,,False
1UWH,4DBN,32,38,10,0,,,False
1UWH,4E26,32,25,8,0,,,False
1UWH,4E4X,32,32,8,0,,,False
1UWH,4EHE,32,28,9,0,,,False
1UWH,4EHG,32,29,10,0,,,False
1UWH,4FC0,32,40,9,0,,,False
1UWH,4G9C,32,36,11,0,,,False
1UWH,4G9R,32,34,9,0,,,False
2FB8,3C4C,34,27,8,0,,,False
2FB8,3D4Q,34,28,20,0,,,False
2FB8,3IDP,34,35,11,0,,,False
2FB8,3II5,34,38,9,0,,,False
2FB8,3PPJ,34,25,6,0,,,False
2FB8,3PPK,34,30,7,0,,,False
2FB8,3PRF,34,24,7,0,,,False
2FB8,3PRI,34,29,8,0,,,False
2FB8,3PSB,34,26,11,0,,,False
2FB8,3PSD,34,29,18,0,,,False
2FB8,3Q4C,34,34,0,0,,,False
2FB8,3Q96,34,39,7,0,,,False
2FB8,3SKC,34,32,7,0,,,False
2FB8,3TV4,34,26,6,0,,,False
2FB8,3TV6,34,29,7,0,,,False
2FB8,4DBN,34,38,9,0,,,False
2FB8,4E26,34,25,7,0,,,False
2FB8,4E4X,34,32,6,0,,,False
2FB8,4EHE,34,28,6,0,,,False
2FB8,4EHG,34,29,6,0,,,False
2FB8,4FC0,34,40,10,0,,,False
2FB8,4G9C,34,36,7,0,,,False
2FB8,4G9R,34,34,6,0,,,False
3C4C,3D4Q,27,28,8,0,,,False
3C4C,3IDP,27,35,8,0,,,False
3C4C,3II5,27,38,8,0,,,False
3C4C,3PPJ,27,25,8,0,,,False
3C4C,3PPK,27,30,7,0,,,False
3C4C,3PRF,27,24,8,0,,,False
3C4C,3PRI,27,29,7,0,,,False
3C4C,3PSB,27,26,7,0,,,False
3C4C,3PSD,27,29,8,0,,,False
3C4C,3Q4C,27,34,8,0,,,False
3C4C,3Q96,27,39,8,0,,,False
3C4C,3SKC,27,32,14,0,,,False
3C4C,3TV4,27,26,17,0,,,False
3C4C,3TV6,27,29,17,0,,,False
3C4C,4DBN,27,38,9,0,,,False
3C4C,4E26,27,25,11,0,,,False
3C4C,4E4X,27,32,15,0,,,False
3C4C,4EHE,27,28,15,0,,,False
3C4C,4EHG,27,29,15,0,,,False
3C4C,4FC0,27,40,9,0,,,False
3C4C,4G9C,27,36,11,0,,,False
3C4C,4G9R,27,34,8,0,,,False
3D4Q,3IDP,28,35,9,0,,,False
3D4Q,3II5,28,38,15,0,,,False
3D4Q,3PPJ,28,25,7,0,,,False
3D4Q,3PPK,28,30,6,0,,,False
3D4Q,3PRF,28,24,6,0,,,False
3D4Q,3PRI,28,29,7,0,,,False
3D4Q,3PSB,28,26,11,0,,,False
3D4Q,3PSD,28,29,26,0,,,False
