L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2YEL,3P5O,32,30,21,0,,,False
2YEL,3U5J,32,22,21,0,,,False
2YEL,3U5L,32,23,20,0,,,False
2YEL,3ZYU,32,31,7,0,,,False
2YEL,4LYW,32,29,6,0,,,False
2YEL,4LZR,32,29,7,0,,,False
2YEL,4LZS,32,15,0,0,,,False
2YEL,4MR3,32,24,7,0,,,False
2YEL,4NUC,32,27,7,0,,,False
2YEL,4NUE,32,28,6,0,,,False
2YEL,4OGJ,32,37,6,0,,,False
2YEL,4QB3,32,22,9,0,,,False
2YEL,4WIV,32,27,7,0,,,False
2YEL,4XYA,32,20,7,0,,,False
2YEL,4Z93,32,31,9,0,,,False
2YEL,5ACY,32,34,7,0,,,False
3P5O,3U5J,30,22,21,0,,,False
3P5O,3U5L,30,23,20,0,,,False
3P5O,3ZYU,30,31,9,0,,,False
3P5O,4LYW,30,29,7,0,,,False
3P5O,4LZR,30,29,9,0,,,False
3P5O,4LZS,30,15,7,0,,,False
3P5O,4MR3,30,24,8,0,,,False
3P5O,4NUC,30,27,7,0,,,False
3P5O,4NUE,30,28,6,0,,,False
3P5O,4OGJ,30,37,8,0,,,False
3P5O,4QB3,30,22,9,0,,,False
3P5O,4WIV,30,27,7,0,,,False
3P5O,4XYA,30,20,7,0,,,False
3P5O,4Z93,30,31,11,0,,,False
3P5O,5ACY,30,34,6,0,,,False
3U5J,3U5L,22,23,21,0,,,False
3U5J,3ZYU,22,31,7,0,,,False
3U5J,4LYW,22,29,6,0,,,False
3U5J,4LZR,22,29,7,0,,,False
3U5J,4LZS,22,15,0,0,,,False
3U5J,4MR3,22,24,6,0,,,False
3U5J,4NUC,22,27,6,0,,,False
3U5J,4NUE,22,28,6,0,,,False
3U5J,4OGJ,22,37,6,0,,,False
3U5J,4QB3,22,22,9,0,,,False
3U5J,4WIV,22,27,7,0,,,False
3U5J,4XYA,22,20,8,0,,,False
3U5J,4Z93,22,31,9,0,,,False
3U5J,5ACY,22,34,6,0,,,False
3U5L,3ZYU,23,31,7,0,,,False
3U5L,4LYW,23,29,6,0,,,False
3U5L,4LZR,23,29,7,0,,,False
3U5L,4LZS,23,15,0,0,,,False
3U5L,4MR3,23,24,6,0,,,False
3U5L,4NUC,23,27,6,0,,,False
3U5L,4NUE,23,28,6,0,,,False
3U5L,4OGJ,23,37,6,0,,,False
3U5L,4QB3,23,22,9,0,,,False
3U5L,4WIV,23,27,7,0,,,False
3U5L,4XYA,23,20,8,0,,,False
3U5L,4Z93,23,31,9,0,,,False
3U5L,5ACY,23,34,6,0,,,False
3ZYU,4LYW,31,29,7,0,,,False
3ZYU,4LZR,31,29,11,0,,,False
3ZYU,4LZS,31,15,6,0,,,False
3ZYU,4MR3,31,24,8,0,,,False
3ZYU,4NUC,31,27,8,0,,,False
3ZYU,4NUE,31,28,7,0,,,False
3ZYU,4OGJ,31,37,10,0,,,False
3ZYU,4QB3,31,22,10,0,,,False
3ZYU,4WIV,31,27,0,0,,,False
3ZYU,4XYA,31,20,9,0,,,False
3ZYU,4Z93,31,31,19,0,,,False
3ZYU,5ACY,31,34,8,0,,,False
4LYW,4LZR,29,29,7,0,,,False
