L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1AQ1,1CKP,35,18,6,0,,,False
1AQ1,1DI8,35,22,6,0,,,False
1AQ1,1DM2,35,19,0,0,,,False
1AQ1,1E1V,35,18,6,0,,,False
1AQ1,1E1X,35,18,6,0,,,False
1AQ1,1E9H,35,24,8,0,,,False
1AQ1,1FIN,35,31,0,0,,,False
1AQ1,1FVT,35,23,7,0,,,False
1AQ1,1FVV,35,31,8,0,,,False
1AQ1,1G5S,35,30,6,0,,,False
1AQ1,1GIH,35,23,10,0,,,False
1AQ1,1GIJ,35,27,10,0,,,False
1AQ1,1GZ8,35,17,0,0,,,False
1AQ1,1H0V,35,18,0,0,,,False
1AQ1,1H1Q,35,24,6,0,,,False
1AQ1,1H1R,35,25,6,0,,,False
1AQ1,1H1S,35,28,6,0,,,False
1AQ1,1JSV,35,18,6,0,,,False
1AQ1,1JVP,35,18,9,0,,,False
1AQ1,1KE5,35,23,7,0,,,False
1AQ1,1KE6,35,27,8,0,,,False
1AQ1,1KE7,35,28,8,0,,,False
1AQ1,1KE8,35,27,7,0,,,False
1AQ1,1KE9,35,25,7,0,,,False
1CKP,1DI8,18,22,11,0,,,False
1CKP,1DM2,18,19,5,0,,,False
1CKP,1E1V,18,18,9,0,,,False
1CKP,1E1X,18,18,0,0,,,False
1CKP,1E9H,18,24,6,0,,,False
1CKP,1FIN,18,31,10,0,,,False
1CKP,1FVT,18,23,7,0,,,False
1CKP,1FVV,18,31,7,0,,,False
1CKP,1G5S,18,30,10,0,,,False
1CKP,1GIH,18,23,7,0,,,False
1CKP,1GIJ,18,27,7,0,,,False
1CKP,1GZ8,18,17,9,0,,,False
1CKP,1H0V,18,18,9,0,,,False
1CKP,1H1Q,18,24,10,0,,,False
1CKP,1H1R,18,25,11,0,,,False
1CKP,1H1S,18,28,10,0,,,False
1CKP,1JSV,18,18,11,0,,,False
1CKP,1JVP,18,18,6,0,,,False
1CKP,1KE5,18,23,7,0,,,False
1CKP,1KE6,18,27,7,0,,,False
