L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1NVQ,1NVR,36,35,35,0,,,False
1NVQ,1NVS,36,30,24,0,,,False
1NVQ,1ZLT,36,20,0,0,,,False
1NVQ,1ZYS,36,31,6,0,,,False
1NVQ,2AYP,36,25,12,0,,,False
1NVQ,2BR1,36,29,7,0,,,False
1NVQ,2BRB,36,25,7,0,,,False
1NVQ,2BRG,36,26,7,0,,,False
1NVQ,2BRH,36,26,7,0,,,False
1NVQ,2BRM,36,25,9,0,,,False
1NVQ,2BRN,36,26,9,0,,,False
1NVQ,2BRO,36,27,9,0,,,False
1NVQ,2C3J,36,18,0,0,,,False
1NVQ,2C3K,36,27,12,0,,,False
1NVQ,2C3L,36,18,8,0,,,False
1NVQ,2CGU,36,25,6,0,,,False
1NVQ,2CGV,36,19,6,0,,,False
1NVQ,2CGW,36,20,0,0,,,False
1NVQ,2CGX,36,15,0,0,,,False
1NVQ,2E9N,36,35,12,0,,,False
1NVQ,2E9O,36,30,9,0,,,False
1NVQ,2E9P,36,26,6,0,,,False
1NVQ,2E9U,36,24,6,0,,,False
1NVQ,2E9V,36,34,6,0,,,False
1NVR,1NVS,35,30,24,0,,,False
1NVR,1ZLT,35,20,0,0,,,False
1NVR,1ZYS,35,31,6,0,,,False
1NVR,2AYP,35,25,12,0,,,False
1NVR,2BR1,35,29,7,0,,,False
1NVR,2BRB,35,25,7,0,,,False
1NVR,2BRG,35,26,7,0,,,False
1NVR,2BRH,35,26,7,0,,,False
1NVR,2BRM,35,25,9,0,,,False
1NVR,2BRN,35,26,9,0,,,False
1NVR,2BRO,35,27,9,0,,,False
1NVR,2C3J,35,18,0,0,,,False
1NVR,2C3K,35,27,12,0,,,False
1NVR,2C3L,35,18,8,0,,,False
1NVR,2CGU,35,25,6,0,,,False
1NVR,2CGV,35,19,6,0,,,False
1NVR,2CGW,35,20,0,0,,,False
1NVR,2CGX,35,15,0,0,,,False
1NVR,2E9N,35,35,12,0,,,False
1NVR,2E9O,35,30,9,0,,,False
1NVR,2E9P,35,26,6,0,,,False
1NVR,2E9U,35,24,6,0,,,False
1NVR,2E9V,35,34,6,0,,,False
1NVS,1ZLT,30,20,6,0,,,False
1NVS,1ZYS,30,31,6,0,,,False
1NVS,2AYP,30,25,15,0,,,False
1NVS,2BR1,30,29,0,0,,,False
1NVS,2BRB,30,25,0,0,,,False
1NVS,2BRG,30,26,0,0,,,False
1NVS,2BRH,30,26,0,0,,,False
1NVS,2BRM,30,25,0,0,,,False
1NVS,2BRN,30,26,0,0,,,False
1NVS,2BRO,30,27,0,0,,,False
1NVS,2C3J,30,18,6,0,,,False
1NVS,2C3K,30,27,12,0,,,False
1NVS,2C3L,30,18,10,0,,,False
1NVS,2CGU,30,25,0,0,,,False
1NVS,2CGV,30,19,6,0,,,False
1NVS,2CGW,30,20,0,0,,,False
1NVS,2CGX,30,15,0,0,,,False
1NVS,2E9N,30,35,12,0,,,False
1NVS,2E9O,30,30,0,0,,,False
1NVS,2E9P,30,26,6,0,,,False
1NVS,2E9U,30,24,6,0,,,False
1NVS,2E9V,30,34,6,0,,,False
1ZLT,1ZYS,20,31,6,0,,,False
1ZLT,2AYP,20,25,5,0,,,False
1ZLT,2BR1,20,29,0,0,,,False
1ZLT,2BRB,20,25,0,0,,,False
1ZLT,2BRG,20,26,0,0,,,False
1ZLT,2BRH,20,26,0,0,,,False
1ZLT,2BRM,20,25,6,0,,,False
1ZLT,2BRN,20,26,6,0,,,False
1ZLT,2BRO,20,27,6,0,,,False
1ZLT,2C3J,20,18,18,0,,,False
1ZLT,2C3K,20,27,0,0,,,False
1ZLT,2C3L,20,18,0,0,,,False
1ZLT,2CGU,20,25,6,0,,,False
1ZLT,2CGV,20,19,0,0,,,False
1ZLT,2CGW,20,20,6,0,,,False
1ZLT,2CGX,20,15,5,0,,,False
1ZLT,2E9N,20,35,0,0,,,False
1ZLT,2E9O,20,30,0,0,,,False
1ZLT,2E9P,20,26,0,0,,,False
1ZLT,2E9U,20,24,0,0,,,False
1ZLT,2E9V,20,34,0,0,,,False
1ZYS,2AYP,31,25,6,0,,,False
1ZYS,2BR1,31,29,7,0,,,False
1ZYS,2BRB,31,25,7,0,,,False
1ZYS,2BRG,31,26,7,0,,,False
1ZYS,2BRH,31,26,7,0,,,False
1ZYS,2BRM,31,25,8,0,,,False
1ZYS,2BRN,31,26,8,0,,,False
1ZYS,2BRO,31,27,8,0,,,False
1ZYS,2C3J,31,18,6,0,,,False
1ZYS,2C3K,31,27,6,0,,,False
1ZYS,2C3L,31,18,6,0,,,False
1ZYS,2CGU,31,25,8,0,,,False
1ZYS,2CGV,31,19,9,0,,,False
1ZYS,2CGW,31,20,6,0,,,False
1ZYS,2CGX,31,15,7,0,,,False
1ZYS,2E9N,31,35,6,0,,,False
1ZYS,2E9O,31,30,7,0,,,False
1ZYS,2E9P,31,26,7,0,,,False
1ZYS,2E9U,31,24,7,0,,,False
1ZYS,2E9V,31,34,7,0,,,False
2AYP,2BR1,25,29,8,0,,,False
2AYP,2BRB,25,25,8,0,,,False
2AYP,2BRG,25,26,8,0,,,False
2AYP,2BRH,25,26,8,0,,,False
2AYP,2BRM,25,25,9,0,,,False
2AYP,2BRN,25,26,9,0,,,False
2AYP,2BRO,25,27,9,0,,,False
2AYP,2C3J,25,18,5,0,,,False
2AYP,2C3K,25,27,0,0,,,False
2AYP,2C3L,25,18,0,0,,,False
2AYP,2CGU,25,25,0,0,,,False
2AYP,2CGV,25,19,6,0,,,False
2AYP,2CGW,25,20,0,0,,,False
2AYP,2CGX,25,15,0,0,,,False
2AYP,2E9N,25,35,15,0,,,False
2AYP,2E9O,25,30,8,0,,,False
2AYP,2E9P,25,26,8,0,,,False
2AYP,2E9U,25,24,7,0,,,False
2AYP,2E9V,25,34,7,0,,,False
2BR1,2BRB,29,25,25,0,,,False
2BR1,2BRG,29,26,25,0,,,False
2BR1,2BRH,29,26,25,0,,,False
2BR1,2BRM,29,25,24,0,,,False
2BR1,2BRN,29,26,24,0,,,False
2BR1,2BRO,29,27,24,0,,,False
