L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
4M48,4XNU,20,20,6,0,,,False
4M48,4XNX,20,23,6,0,,,False
4M48,4XP1,20,11,6,0,,,False
4M48,4XP4,20,22,6,0,,,False
4M48,4XP5,20,20,6,0,,,False
4M48,4XP6,20,11,6,0,,,False
4M48,4XP9,20,10,6,0,,,False
4M48,4XPA,20,11,6,0,,,False
4XNU,4XNX,20,23,16,0,,,False
4XNU,4XP1,20,11,8,0,,,False
4XNU,4XP4,20,22,8,0,,,False
4XNU,4XP5,20,20,6,0,,,False
4XNU,4XP6,20,11,9,0,,,False
4XNU,4XP9,20,10,9,0,,,False
4XNU,4XPA,20,11,8,0,,,False
4XNX,4XP1,23,11,8,0,,,False
4XNX,4XP4,23,22,8,0,,,False
4XNX,4XP5,23,20,6,0,,,False
4XNX,4XP6,23,11,7,0,,,False
4XNX,4XP9,23,10,7,0,,,False
4XNX,4XPA,23,11,7,0,,,False
4XP1,4XP4,11,22,7,0,,,False
4XP1,4XP5,11,20,6,0,,,False
4XP1,4XP6,11,11,9,0,,,False
4XP1,4XP9,11,10,9,0,,,False
4XP1,4XPA,11,11,9,0,,,False
4XP4,4XP5,22,20,13,0,,,False
4XP4,4XP6,22,11,7,0,,,False
4XP4,4XP9,22,10,7,0,,,False
4XP4,4XPA,22,11,7,0,,,False
4XP5,4XP6,20,11,6,0,,,False
4XP5,4XP9,20,10,6,0,,,False
4XP5,4XPA,20,11,7,0,,,False
4XP6,4XP9,11,10,10,0,,,False
4XP6,4XPA,11,11,9,0,,,False
4XP9,4XPA,10,11,9,0,,,False
