L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1BOZ,1DLR,25,24,12,0,,,False
1BOZ,1DLS,25,33,12,0,,,False
1BOZ,1HFP,25,32,9,0,,,False
1BOZ,1KMS,25,25,12,0,,,False
1BOZ,1KMV,25,25,12,0,,,False
1BOZ,1OHJ,25,42,12,0,,,False
1BOZ,1PD8,25,28,12,0,,,False
1BOZ,2W3A,25,21,9,0,,,False
1BOZ,3GHC,25,32,9,0,,,False
1BOZ,3GHW,25,31,9,0,,,False
1BOZ,3GYF,25,22,9,0,,,False
1BOZ,3NTZ,25,35,9,0,,,False
1BOZ,3NU0,25,36,8,0,,,False
1BOZ,3NXO,25,24,9,0,,,False
1BOZ,3NXR,25,24,9,0,,,False
1BOZ,3NXT,25,24,9,0,,,False
1BOZ,3NXV,25,25,9,0,,,False
1BOZ,3NXY,25,25,9,0,,,False
1BOZ,4DDR,25,26,9,0,,,False
1BOZ,4KAK,25,28,9,0,,,False
1BOZ,4KBN,25,25,8,0,,,False
1BOZ,4KD7,25,27,9,0,,,False
1BOZ,4M6L,25,32,11,0,,,False
1BOZ,4QHV,25,23,14,0,,,False
1DLR,1DLS,24,33,12,0,,,False
1DLR,1HFP,24,32,7,0,,,False
1DLR,1KMS,24,25,14,0,,,False
1DLR,1KMV,24,25,14,0,,,False
1DLR,1OHJ,24,42,12,0,,,False
1DLR,1PD8,24,28,14,0,,,False
1DLR,2W3A,24,21,16,0,,,False
1DLR,3GHC,24,32,7,0,,,False
1DLR,3GHW,24,31,7,0,,,False
1DLR,3GYF,24,22,9,0,,,False
1DLR,3NTZ,24,35,7,0,,,False
1DLR,3NU0,24,36,7,0,,,False
1DLR,3NXO,24,24,9,0,,,False
1DLR,3NXR,24,24,9,0,,,False
1DLR,3NXT,24,24,9,0,,,False
1DLR,3NXV,24,25,9,0,,,False
1DLR,3NXY,24,25,9,0,,,False
1DLR,4DDR,24,26,9,0,,,False
1DLR,4KAK,24,28,9,0,,,False
1DLR,4KBN,24,25,8,0,,,False
1DLR,4KD7,24,27,9,0,,,False
1DLR,4M6L,24,32,12,0,,,False
1DLR,4QHV,24,23,12,0,,,False
1DLS,1HFP,33,32,21,0,,,False
1DLS,1KMS,33,25,19,0,,,False
1DLS,1KMV,33,25,12,0,,,False
1DLS,1OHJ,33,42,30,0,,,False
1DLS,1PD8,33,28,20,0,,,False
1DLS,2W3A,33,21,8,0,,,False
1DLS,3GHC,33,32,18,0,,,False
1DLS,3GHW,33,31,18,0,,,False
1DLS,3GYF,33,22,7,0,,,False
1DLS,3NTZ,33,35,20,0,,,False
1DLS,3NU0,33,36,8,0,,,False
1DLS,3NXO,33,24,7,0,,,False
1DLS,3NXR,33,24,7,0,,,False
1DLS,3NXT,33,24,7,0,,,False
1DLS,3NXV,33,25,7,0,,,False
1DLS,3NXY,33,25,7,0,,,False
1DLS,4DDR,33,26,8,0,,,False
1DLS,4KAK,33,28,8,0,,,False
1DLS,4KBN,33,25,8,0,,,False
1DLS,4KD7,33,27,8,0,,,False
1DLS,4M6L,33,32,18,0,,,False
1DLS,4QHV,33,23,12,0,,,False
1HFP,1KMS,32,25,8,0,,,False
1HFP,1KMV,32,25,7,0,,,False
1HFP,1OHJ,32,42,18,0,,,False
1HFP,1PD8,32,28,9,0,,,False
1HFP,2W3A,32,21,7,0,,,False
1HFP,3GHC,32,32,18,0,,,False
1HFP,3GHW,32,31,18,0,,,False
1HFP,3GYF,32,22,12,0,,,False
1HFP,3NTZ,32,35,20,0,,,False
1HFP,3NU0,32,36,8,0,,,False
1HFP,3NXO,32,24,12,0,,,False
1HFP,3NXR,32,24,12,0,,,False
1HFP,3NXT,32,24,12,0,,,False
1HFP,3NXV,32,25,12,0,,,False
1HFP,3NXY,32,25,12,0,,,False
1HFP,4DDR,32,26,7,0,,,False
1HFP,4KAK,32,28,7,0,,,False
1HFP,4KBN,32,25,7,0,,,False
1HFP,4KD7,32,27,7,0,,,False
1HFP,4M6L,32,32,18,0,,,False
1HFP,4QHV,32,23,9,0,,,False
1KMS,1KMV,25,25,14,0,,,False
1KMS,1OHJ,25,42,19,0,,,False
1KMS,1PD8,25,28,21,0,,,False
1KMS,2W3A,25,21,8,0,,,False
1KMS,3GHC,25,32,6,0,,,False
1KMS,3GHW,25,31,6,0,,,False
1KMS,3GYF,25,22,6,0,,,False
1KMS,3NTZ,25,35,8,0,,,False
1KMS,3NU0,25,36,8,0,,,False
1KMS,3NXO,25,24,6,0,,,False
1KMS,3NXR,25,24,6,0,,,False
1KMS,3NXT,25,24,6,0,,,False
1KMS,3NXV,25,25,6,0,,,False
1KMS,3NXY,25,25,6,0,,,False
1KMS,4DDR,25,26,8,0,,,False
1KMS,4KAK,25,28,10,0,,,False
1KMS,4KBN,25,25,8,0,,,False
1KMS,4KD7,25,27,10,0,,,False
1KMS,4M6L,25,32,12,0,,,False
1KMS,4QHV,25,23,12,0,,,False
1KMV,1OHJ,25,42,12,0,,,False
1KMV,1PD8,25,28,14,0,,,False
1KMV,2W3A,25,21,9,0,,,False
1KMV,3GHC,25,32,7,0,,,False
1KMV,3GHW,25,31,7,0,,,False
1KMV,3GYF,25,22,10,0,,,False
1KMV,3NTZ,25,35,7,0,,,False
1KMV,3NU0,25,36,7,0,,,False
1KMV,3NXO,25,24,10,0,,,False
1KMV,3NXR,25,24,10,0,,,False
1KMV,3NXT,25,24,10,0,,,False
1KMV,3NXV,25,25,10,0,,,False
1KMV,3NXY,25,25,10,0,,,False
1KMV,4DDR,25,26,10,0,,,False
1KMV,4KAK,25,28,10,0,,,False
1KMV,4KBN,25,25,9,0,,,False
1KMV,4KD7,25,27,10,0,,,False
1KMV,4M6L,25,32,19,0,,,False
1KMV,4QHV,25,23,12,0,,,False
1OHJ,1PD8,42,28,19,0,,,False
1OHJ,2W3A,42,21,8,0,,,False
1OHJ,3GHC,42,32,16,0,,,False
1OHJ,3GHW,42,31,16,0,,,False
1OHJ,3GYF,42,22,7,0,,,False
1OHJ,3NTZ,42,35,18,0,,,False
1OHJ,3NU0,42,36,8,0,,,False
1OHJ,3NXO,42,24,7,0,,,False
1OHJ,3NXR,42,24,7,0,,,False
1OHJ,3NXT,42,24,7,0,,,False
1OHJ,3NXV,42,25,7,0,,,False
1OHJ,3NXY,42,25,7,0,,,False
1OHJ,4DDR,42,26,8,0,,,False
1OHJ,4KAK,42,28,8,0,,,False
1OHJ,4KBN,42,25,8,0,,,False
1OHJ,4KD7,42,27,8,0,,,False
1OHJ,4M6L,42,32,16,0,,,False
1OHJ,4QHV,42,23,12,0,,,False
1PD8,2W3A,28,21,12,0,,,False
1PD8,3GHC,28,32,6,0,,,False
1PD8,3GHW,28,31,6,0,,,False
1PD8,3GYF,28,22,8,0,,,False
1PD8,3NTZ,28,35,8,0,,,False
1PD8,3NU0,28,36,8,0,,,False
1PD8,3NXO,28,24,8,0,,,False
1PD8,3NXR,28,24,8,0,,,False
1PD8,3NXT,28,24,8,0,,,False
1PD8,3NXV,28,25,8,0,,,False
1PD8,3NXY,28,25,8,0,,,False
1PD8,4DDR,28,26,8,0,,,False
1PD8,4KAK,28,28,8,0,,,False
1PD8,4KBN,28,25,8,0,,,False
1PD8,4KD7,28,27,8,0,,,False
1PD8,4M6L,28,32,12,0,,,False
1PD8,4QHV,28,23,12,0,,,False
