L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
3Q77,5A09,32,33,28,0,,,False
3Q77,5A0A,32,29,20,0,,,False
3Q77,5A0B,32,40,27,0,,,False
3Q77,5A0C,32,32,27,0,,,False
3Q77,5A8X,32,33,28,0,,,False
3Q77,5A8Y,32,35,24,0,,,False
3Q77,5A8Z,32,31,25,0,,,False
3Q77,5ABW,32,36,13,0,,,False
5A09,5A0A,33,29,21,0,,,False
5A09,5A0B,33,40,30,0,,,False
5A09,5A0C,33,32,27,0,,,False
5A09,5A8X,33,33,25,0,,,False
5A09,5A8Y,33,35,24,0,,,False
5A09,5A8Z,33,31,25,0,,,False
5A09,5ABW,33,36,13,0,,,False
5A0A,5A0B,29,40,19,0,,,False
5A0A,5A0C,29,32,19,0,,,False
5A0A,5A8X,29,33,17,0,,,False
5A0A,5A8Y,29,35,16,0,,,False
5A0A,5A8Z,29,31,20,0,,,False
5A0A,5ABW,29,36,14,0,,,False
5A0B,5A0C,40,32,28,0,,,False
5A0B,5A8X,40,33,24,0,,,False
5A0B,5A8Y,40,35,25,0,,,False
5A0B,5A8Z,40,31,25,0,,,False
5A0B,5ABW,40,36,13,0,,,False
5A0C,5A8X,32,33,24,0,,,False
5A0C,5A8Y,32,35,25,0,,,False
5A0C,5A8Z,32,31,25,0,,,False
5A0C,5ABW,32,36,13,0,,,False
5A8X,5A8Y,33,35,28,0,,,False
5A8X,5A8Z,33,31,22,0,,,False
5A8X,5ABW,33,36,12,0,,,False
5A8Y,5A8Z,35,31,22,0,,,False
5A8Y,5ABW,35,36,12,0,,,False
5A8Z,5ABW,31,36,12,0,,,False
