L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1A52,1ERR,20,34,7,0,,,False
1A52,1GWQ,20,17,7,0,,,False
1A52,1L2I,20,24,13,0,,,False
1A52,1R5K,20,27,6,0,,,False
1A52,1SJ0,20,33,9,0,,,False
1A52,1UOM,20,32,10,0,,,False
1A52,1X7E,20,20,7,0,,,False
1A52,1X7R,20,20,10,0,,,False
1A52,1XP1,20,34,9,0,,,False
1A52,1XP6,20,34,9,0,,,False
1A52,1XP9,20,33,9,0,,,False
1A52,1XPC,20,33,9,0,,,False
1A52,1XQC,20,33,10,0,,,False
1A52,1YIM,20,33,10,0,,,False
1A52,1YIN,20,35,10,0,,,False
1A52,1ZKY,20,21,12,0,,,False
1A52,2AYR,20,37,7,0,,,False
1A52,2B1V,20,19,12,0,,,False
1A52,2B1Z,20,21,14,0,,,False
1A52,2FAI,20,20,12,0,,,False
1A52,2G44,20,19,12,0,,,False
1A52,2G5O,20,24,20,0,,,False
1A52,2I0J,20,21,8,0,,,False
1A52,2IOG,20,39,7,0,,,False
1ERR,1GWQ,34,17,17,0,,,False
1ERR,1L2I,34,24,7,0,,,False
1ERR,1R5K,34,27,7,0,,,False
1ERR,1SJ0,34,33,15,0,,,False
1ERR,1UOM,34,32,15,0,,,False
1ERR,1X7E,34,20,15,0,,,False
1ERR,1X7R,34,20,7,0,,,False
1ERR,1XP1,34,34,9,0,,,False
1ERR,1XP6,34,34,9,0,,,False
1ERR,1XP9,34,33,9,0,,,False
1ERR,1XPC,34,33,9,0,,,False
1ERR,1XQC,34,33,7,0,,,False
1ERR,1YIM,34,33,9,0,,,False
1ERR,1YIN,34,35,15,0,,,False
1ERR,1ZKY,34,21,7,0,,,False
1ERR,2AYR,34,37,15,0,,,False
1ERR,2B1V,34,19,7,0,,,False
1ERR,2B1Z,34,21,9,0,,,False
1ERR,2FAI,34,20,7,0,,,False
1ERR,2G44,34,19,7,0,,,False
1ERR,2G5O,34,24,7,0,,,False
1ERR,2I0J,34,21,8,0,,,False
1ERR,2IOG,34,39,15,0,,,False
1GWQ,1L2I,17,24,7,0,,,False
1GWQ,1R5K,17,27,6,0,,,False
1GWQ,1SJ0,17,33,7,0,,,False
1GWQ,1UOM,17,32,7,0,,,False
1GWQ,1X7E,17,20,15,0,,,False
1GWQ,1X7R,17,20,7,0,,,False
1GWQ,1XP1,17,34,7,0,,,False
1GWQ,1XP6,17,34,7,0,,,False
1GWQ,1XP9,17,33,7,0,,,False
1GWQ,1XPC,17,33,7,0,,,False
1GWQ,1XQC,17,33,7,0,,,False
1GWQ,1YIM,17,33,7,0,,,False
1GWQ,1YIN,17,35,7,0,,,False
1GWQ,1ZKY,17,21,7,0,,,False
1GWQ,2AYR,17,37,7,0,,,False
1GWQ,2B1V,17,19,7,0,,,False
1GWQ,2B1Z,17,21,8,0,,,False
1GWQ,2FAI,17,20,7,0,,,False
1GWQ,2G44,17,19,7,0,,,False
1GWQ,2G5O,17,24,7,0,,,False
1GWQ,2I0J,17,21,8,0,,,False
1GWQ,2IOG,17,39,15,0,,,False
1L2I,1R5K,24,27,6,0,,,False
1L2I,1SJ0,24,33,16,0,,,False
1L2I,1UOM,24,32,10,0,,,False
1L2I,1X7E,24,20,7,0,,,False
1L2I,1X7R,24,20,17,0,,,False
1L2I,1XP1,24,34,16,0,,,False
1L2I,1XP6,24,34,16,0,,,False
1L2I,1XP9,24,33,16,0,,,False
1L2I,1XPC,24,33,16,0,,,False
1L2I,1XQC,24,33,10,0,,,False
1L2I,1YIM,24,33,17,0,,,False
1L2I,1YIN,24,35,17,0,,,False
1L2I,1ZKY,24,21,13,0,,,False
1L2I,2AYR,24,37,7,0,,,False
1L2I,2B1V,24,19,12,0,,,False
1L2I,2B1Z,24,21,8,0,,,False
1L2I,2FAI,24,20,12,0,,,False
1L2I,2G44,24,19,12,0,,,False
1L2I,2G5O,24,24,13,0,,,False
