L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
4CR5,4CR9,12,13,10,0,,,False
4CR5,4CRA,12,38,11,0,,,False
4CR5,4CRB,12,40,11,0,,,False
4CR5,4CRC,12,39,7,0,,,False
4CR5,4CRF,12,39,12,0,,,False
4CR5,4TY6,12,33,6,0,,,False
4CR5,4TY7,12,35,6,0,,,False
4CR5,4X6M,12,38,7,0,,,False
4CR5,4X6N,12,41,7,0,,,False
4CR5,4X6O,12,42,7,0,,,False
4CR5,4X6P,12,40,7,0,,,False
4CR5,4Y8X,12,42,7,0,,,False
4CR5,5E2O,12,37,7,0,,,False
4CR5,5E2P,12,40,11,0,,,False
4CR9,4CRA,13,38,11,0,,,False
4CR9,4CRB,13,40,10,0,,,False
4CR9,4CRC,13,39,7,0,,,False
4CR9,4CRF,13,39,11,0,,,False
4CR9,4TY6,13,33,6,0,,,False
4CR9,4TY7,13,35,6,0,,,False
4CR9,4X6M,13,38,6,0,,,False
4CR9,4X6N,13,41,6,0,,,False
4CR9,4X6O,13,42,7,0,,,False
4CR9,4X6P,13,40,6,0,,,False
4CR9,4Y8X,13,42,7,0,,,False
4CR9,5E2O,13,37,7,0,,,False
4CR9,5E2P,13,40,10,0,,,False
4CRA,4CRB,38,40,27,0,,,False
4CRA,4CRC,38,39,14,0,,,False
4CRA,4CRF,38,39,27,0,,,False
4CRA,4TY6,38,33,11,0,,,False
4CRA,4TY7,38,35,11,0,,,False
4CRA,4X6M,38,38,11,0,,,False
4CRA,4X6N,38,41,11,0,,,False
4CRA,4X6O,38,42,12,0,,,False
4CRA,4X6P,38,40,12,0,,,False
4CRA,4Y8X,38,42,12,0,,,False
4CRA,5E2O,38,37,14,0,,,False
4CRA,5E2P,38,40,27,0,,,False
4CRB,4CRC,40,39,19,0,,,False
4CRB,4CRF,40,39,27,0,,,False
4CRB,4TY6,40,33,11,0,,,False
4CRB,4TY7,40,35,11,0,,,False
4CRB,4X6M,40,38,11,0,,,False
4CRB,4X6N,40,41,13,0,,,False
4CRB,4X6O,40,42,19,0,,,False
4CRB,4X6P,40,40,19,0,,,False
4CRB,4Y8X,40,42,19,0,,,False
4CRB,5E2O,40,37,19,0,,,False
4CRB,5E2P,40,40,40,0,,,False
4CRC,4CRF,39,39,14,0,,,False
4CRC,4TY6,39,33,11,0,,,False
4CRC,4TY7,39,35,11,0,,,False
4CRC,4X6M,39,38,11,0,,,False
4CRC,4X6N,39,41,13,0,,,False
4CRC,4X6O,39,42,25,0,,,False
4CRC,4X6P,39,40,25,0,,,False
4CRC,4Y8X,39,42,25,0,,,False
4CRC,5E2O,39,37,34,0,,,False
4CRC,5E2P,39,40,19,0,,,False
4CRF,4TY6,39,33,11,0,,,False
4CRF,4TY7,39,35,11,0,,,False
4CRF,4X6M,39,38,11,0,,,False
4CRF,4X6N,39,41,11,0,,,False
4CRF,4X6O,39,42,12,0,,,False
4CRF,4X6P,39,40,12,0,,,False
4CRF,4Y8X,39,42,12,0,,,False
4CRF,5E2O,39,37,14,0,,,False
4CRF,5E2P,39,40,27,0,,,False
4TY6,4TY7,33,35,30,0,,,False
4TY6,4X6M,33,38,22,0,,,False
4TY6,4X6N,33,41,22,0,,,False
4TY6,4X6O,33,42,22,0,,,False
4TY6,4X6P,33,40,22,0,,,False
4TY6,4Y8X,33,42,22,0,,,False
4TY6,5E2O,33,37,11,0,,,False
4TY6,5E2P,33,40,11,0,,,False
4TY7,4X6M,35,38,27,0,,,False
4TY7,4X6N,35,41,27,0,,,False
4TY7,4X6O,35,42,23,0,,,False
4TY7,4X6P,35,40,26,0,,,False
4TY7,4Y8X,35,42,23,0,,,False
4TY7,5E2O,35,37,11,0,,,False
4TY7,5E2P,35,40,11,0,,,False
4X6M,4X6N,38,41,36,0,,,False
4X6M,4X6O,38,42,23,0,,,False
4X6M,4X6P,38,40,26,0,,,False
4X6M,4Y8X,38,42,23,0,,,False
4X6M,5E2O,38,37,11,0,,,False
4X6M,5E2P,38,40,11,0,,,False
4X6N,4X6O,41,42,23,0,,,False
4X6N,4X6P,41,40,26,0,,,False
4X6N,4Y8X,41,42,23,0,,,False
4X6N,5E2O,41,37,13,0,,,False
4X6N,5E2P,41,40,13,0,,,False
4X6O,4X6P,42,40,36,0,,,False
4X6O,4Y8X,42,42,42,0,,,False
4X6O,5E2O,42,37,25,0,,,False
4X6O,5E2P,42,40,19,0,,,False
4X6P,4Y8X,40,42,36,0,,,False
4X6P,5E2O,40,37,25,0,,,False
4X6P,5E2P,40,40,19,0,,,False
4Y8X,5E2O,42,37,25,0,,,False
4Y8X,5E2P,42,40,19,0,,,False
5E2O,5E2P,37,40,19,0,,,False
