L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1YC1,1YC4,27,20,15,0,,,False
1YC1,1YET,27,40,0,0,,,False
1YC1,2QFO,27,12,0,0,,,False
1YC1,2QG0,27,27,6,0,,,False
1YC1,2QG2,27,24,8,0,,,False
1YC1,2UWD,27,27,20,0,,,False
1YC1,2XAB,27,22,10,0,,,False
1YC1,2XDK,27,13,0,0,,,False
1YC1,2XDL,27,16,8,0,,,False
1YC1,2XDX,27,16,7,0,,,False
1YC1,2XHT,27,19,9,0,,,False
1YC1,2XJG,27,23,10,0,,,False
1YC1,2XJJ,27,23,9,0,,,False
1YC1,2XJX,27,30,10,0,,,False
1YC1,2YI0,27,22,18,0,,,False
1YC1,2YI7,27,23,18,0,,,False
1YC1,2YKI,27,34,8,0,,,False
1YC1,3B24,27,11,0,0,,,False
1YC1,3B25,27,18,7,0,,,False
1YC1,3B26,27,21,6,0,,,False
1YC1,3B27,27,16,6,0,,,False
1YC1,3D0B,27,28,9,0,,,False
1YC1,3EKO,27,16,9,0,,,False
1YC1,3EKR,27,22,10,0,,,False
1YC4,1YET,20,40,0,0,,,False
1YC4,2QFO,20,12,0,0,,,False
1YC4,2QG0,20,27,6,0,,,False
1YC4,2QG2,20,24,8,0,,,False
1YC4,2UWD,20,27,12,0,,,False
1YC4,2XAB,20,22,10,0,,,False
1YC4,2XDK,20,13,0,0,,,False
1YC4,2XDL,20,16,8,0,,,False
1YC4,2XDX,20,16,7,0,,,False
1YC4,2XHT,20,19,9,0,,,False
1YC4,2XJG,20,23,10,0,,,False
1YC4,2XJJ,20,23,10,0,,,False
1YC4,2XJX,20,30,10,0,,,False
1YC4,2YI0,20,22,12,0,,,False
1YC4,2YI7,20,23,12,0,,,False
1YC4,2YKI,20,34,8,0,,,False
1YC4,3B24,20,11,0,0,,,False
1YC4,3B25,20,18,7,0,,,False
1YC4,3B26,20,21,6,0,,,False
1YC4,3B27,20,16,6,0,,,False
1YC4,3D0B,20,28,8,0,,,False
1YC4,3EKO,20,16,9,0,,,False
1YC4,3EKR,20,22,11,0,,,False
1YET,2QFO,40,12,0,0,,,False
1YET,2QG0,40,27,6,0,,,False
1YET,2QG2,40,24,0,0,,,False
1YET,2UWD,40,27,0,0,,,False
1YET,2XAB,40,22,0,0,,,False
1YET,2XDK,40,13,7,0,,,False
1YET,2XDL,40,16,0,0,,,False
1YET,2XDX,40,16,0,0,,,False
1YET,2XHT,40,19,0,0,,,False
1YET,2XJG,40,23,0,0,,,False
1YET,2XJJ,40,23,0,0,,,False
1YET,2XJX,40,30,0,0,,,False
1YET,2YI0,40,22,0,0,,,False
1YET,2YI7,40,23,0,0,,,False
1YET,2YKI,40,34,8,0,,,False
1YET,3B24,40,11,0,0,,,False
1YET,3B25,40,18,0,0,,,False
1YET,3B26,40,21,0,0,,,False
1YET,3B27,40,16,0,0,,,False
1YET,3D0B,40,28,0,0,,,False
1YET,3EKO,40,16,0,0,,,False
1YET,3EKR,40,22,0,0,,,False
2QFO,2QG0,12,27,9,0,,,False
2QFO,2QG2,12,24,9,0,,,False
2QFO,2UWD,12,27,0,0,,,False
2QFO,2XAB,12,22,0,0,,,False
2QFO,2XDK,12,13,7,0,,,False
2QFO,2XDL,12,16,0,0,,,False
2QFO,2XDX,12,16,7,0,,,False
2QFO,2XHT,12,19,0,0,,,False
2QFO,2XJG,12,23,0,0,,,False
2QFO,2XJJ,12,23,0,0,,,False
2QFO,2XJX,12,30,0,0,,,False
2QFO,2YI0,12,22,0,0,,,False
2QFO,2YI7,12,23,0,0,,,False
2QFO,2YKI,12,34,0,0,,,False
2QFO,3B24,12,11,7,0,,,False
2QFO,3B25,12,18,8,0,,,False
2QFO,3B26,12,21,8,0,,,False
2QFO,3B27,12,16,6,0,,,False
2QFO,3D0B,12,28,0,0,,,False
2QFO,3EKO,12,16,0,0,,,False
2QFO,3EKR,12,22,0,0,,,False
2QG0,2QG2,27,24,9,0,,,False
2QG0,2UWD,27,27,6,0,,,False
2QG0,2XAB,27,22,6,0,,,False
2QG0,2XDK,27,13,7,0,,,False
2QG0,2XDL,27,16,6,0,,,False
2QG0,2XDX,27,16,7,0,,,False
2QG0,2XHT,27,19,6,0,,,False
2QG0,2XJG,27,23,6,0,,,False
2QG0,2XJJ,27,23,6,0,,,False
2QG0,2XJX,27,30,6,0,,,False
2QG0,2YI0,27,22,6,0,,,False
2QG0,2YI7,27,23,6,0,,,False
2QG0,2YKI,27,34,6,0,,,False
2QG0,3B24,27,11,7,0,,,False
2QG0,3B25,27,18,9,0,,,False
2QG0,3B26,27,21,8,0,,,False
2QG0,3B27,27,16,6,0,,,False
2QG0,3D0B,27,28,8,0,,,False
2QG0,3EKO,27,16,6,0,,,False
2QG0,3EKR,27,22,6,0,,,False
2QG2,2UWD,24,27,6,0,,,False
2QG2,2XAB,24,22,8,0,,,False
2QG2,2XDK,24,13,7,0,,,False
2QG2,2XDL,24,16,8,0,,,False
2QG2,2XDX,24,16,7,0,,,False
2QG2,2XHT,24,19,8,0,,,False
2QG2,2XJG,24,23,8,0,,,False
2QG2,2XJJ,24,23,7,0,,,False
2QG2,2XJX,24,30,8,0,,,False
2QG2,2YI0,24,22,6,0,,,False
2QG2,2YI7,24,23,6,0,,,False
2QG2,2YKI,24,34,6,0,,,False
2QG2,3B24,24,11,7,0,,,False
2QG2,3B25,24,18,8,0,,,False
2QG2,3B26,24,21,8,0,,,False
2QG2,3B27,24,16,6,0,,,False
2QG2,3D0B,24,28,8,0,,,False
2QG2,3EKO,24,16,7,0,,,False
2QG2,3EKR,24,22,7,0,,,False
2UWD,2XAB,27,22,8,0,,,False
2UWD,2XDK,27,13,0,0,,,False
2UWD,2XDL,27,16,8,0,,,False
2UWD,2XDX,27,16,8,0,,,False
2UWD,2XHT,27,19,7,0,,,False
2UWD,2XJG,27,23,8,0,,,False
2UWD,2XJJ,27,23,10,0,,,False
2UWD,2XJX,27,30,8,0,,,False
2UWD,2YI0,27,22,19,0,,,False
2UWD,2YI7,27,23,19,0,,,False
2UWD,2YKI,27,34,7,0,,,False
2UWD,3B24,27,11,0,0,,,False
2UWD,3B25,27,18,6,0,,,False
2UWD,3B26,27,21,6,0,,,False
2UWD,3B27,27,16,7,0,,,False
2UWD,3D0B,27,28,9,0,,,False
2UWD,3EKO,27,16,8,0,,,False
2UWD,3EKR,27,22,9,0,,,False
2XAB,2XDK,22,13,0,0,,,False
2XAB,2XDL,22,16,9,0,,,False
2XAB,2XDX,22,16,7,0,,,False
2XAB,2XHT,22,19,12,0,,,False
2XAB,2XJG,22,23,22,0,,,False
2XAB,2XJJ,22,23,18,0,,,False
2XAB,2XJX,22,30,22,0,,,False
2XAB,2YI0,22,22,8,0,,,False
2XAB,2YI7,22,23,8,0,,,False
2XAB,2YKI,22,34,9,0,,,False
2XAB,3B24,22,11,0,0,,,False
2XAB,3B25,22,18,7,0,,,False
2XAB,3B26,22,21,6,0,,,False
2XAB,3B27,22,16,6,0,,,False
2XAB,3D0B,22,28,8,0,,,False
2XAB,3EKO,22,16,13,0,,,False
2XAB,3EKR,22,22,19,0,,,False
2XDK,2XDL,13,16,0,0,,,False
2XDK,2XDX,13,16,7,0,,,False
2XDK,2XHT,13,19,0,0,,,False
2XDK,2XJG,13,23,0,0,,,False
2XDK,2XJJ,13,23,0,0,,,False
2XDK,2XJX,13,30,0,0,,,False
2XDK,2YI0,13,22,0,0,,,False
2XDK,2YI7,13,23,0,0,,,False
2XDK,2YKI,13,34,0,0,,,False
2XDK,3B24,13,11,6,0,,,False
2XDK,3B25,13,18,7,0,,,False
2XDK,3B26,13,21,7,0,,,False
2XDK,3B27,13,16,6,0,,,False
2XDK,3D0B,13,28,0,0,,,False
2XDK,3EKO,13,16,0,0,,,False
2XDK,3EKR,13,22,0,0,,,False
2XDL,2XDX,16,16,8,0,,,False
2XDL,2XHT,16,19,10,0,,,False
2XDL,2XJG,16,23,9,0,,,False
2XDL,2XJJ,16,23,8,0,,,False
2XDL,2XJX,16,30,9,0,,,False
2XDL,2YI0,16,22,8,0,,,False
2XDL,2YI7,16,23,8,0,,,False
2XDL,2YKI,16,34,6,0,,,False
2XDL,3B24,16,11,0,0,,,False
2XDL,3B25,16,18,7,0,,,False
2XDL,3B26,16,21,6,0,,,False
2XDL,3B27,16,16,6,0,,,False
2XDL,3D0B,16,28,9,0,,,False
2XDL,3EKO,16,16,9,0,,,False
2XDL,3EKR,16,22,9,0,,,False
2XDX,2XHT,16,19,7,0,,,False
2XDX,2XJG,16,23,8,0,,,False
2XDX,2XJJ,16,23,7,0,,,False
