L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2B7A,2W1I,23,28,9,0,,,False
2B7A,2XA4,23,24,0,0,,,False
2B7A,3E62,23,11,7,0,,,False
2B7A,3E63,23,16,11,0,,,False
2B7A,3E64,23,24,11,0,,,False
2B7A,3FUP,23,23,0,0,,,False
2B7A,3IO7,23,29,0,0,,,False
2B7A,3IOK,23,26,7,0,,,False
2B7A,3JY9,23,26,8,0,,,False
2B7A,3KCK,23,25,8,0,,,False
2B7A,3KRR,23,36,11,0,,,False
2B7A,3LPB,23,33,10,0,,,False
2B7A,3Q32,23,35,7,0,,,False
2B7A,3RVG,23,29,8,0,,,False
2B7A,3TJC,23,26,6,0,,,False
2B7A,3TJD,23,28,6,0,,,False
2B7A,3UGC,23,41,8,0,,,False
2B7A,3ZMM,23,30,0,0,,,False
2B7A,4AQC,23,32,8,0,,,False
2B7A,4BBE,23,29,9,0,,,False
2B7A,4BBF,23,33,9,0,,,False
2B7A,4C61,23,27,0,0,,,False
2B7A,4C62,23,29,0,0,,,False
2B7A,4D0W,23,23,7,0,,,False
2W1I,2XA4,28,24,5,0,,,False
2W1I,3E62,28,11,7,0,,,False
2W1I,3E63,28,16,7,0,,,False
2W1I,3E64,28,24,7,0,,,False
2W1I,3FUP,28,23,6,0,,,False
2W1I,3IO7,28,29,5,0,,,False
2W1I,3IOK,28,26,10,0,,,False
2W1I,3JY9,28,26,6,0,,,False
2W1I,3KCK,28,25,6,0,,,False
2W1I,3KRR,28,36,13,0,,,False
2W1I,3LPB,28,33,6,0,,,False
2W1I,3Q32,28,35,7,0,,,False
2W1I,3RVG,28,29,9,0,,,False
2W1I,3TJC,28,26,6,0,,,False
2W1I,3TJD,28,28,6,0,,,False
2W1I,3UGC,28,41,12,0,,,False
2W1I,3ZMM,28,30,6,0,,,False
2W1I,4AQC,28,32,6,0,,,False
2W1I,4BBE,28,29,6,0,,,False
2W1I,4BBF,28,33,6,0,,,False
2W1I,4C61,28,27,0,0,,,False
2W1I,4C62,28,29,6,0,,,False
2W1I,4D0W,28,23,7,0,,,False
2XA4,3E62,24,11,0,0,,,False
2XA4,3E63,24,16,0,0,,,False
2XA4,3E64,24,24,0,0,,,False
2XA4,3FUP,24,23,11,0,,,False
2XA4,3IO7,24,29,9,0,,,False
2XA4,3IOK,24,26,9,0,,,False
2XA4,3JY9,24,26,8,0,,,False
2XA4,3KCK,24,25,8,0,,,False
2XA4,3KRR,24,36,5,0,,,False
2XA4,3LPB,24,33,0,0,,,False
2XA4,3Q32,24,35,14,0,,,False
2XA4,3RVG,24,29,6,0,,,False
2XA4,3TJC,24,26,0,0,,,False
2XA4,3TJD,24,28,0,0,,,False
