L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1KV1,1YQJ,21,35,6,0,,,False
1KV1,2BAJ,21,27,19,0,,,False
1KV1,2BAK,21,43,9,0,,,False
1KV1,2BAL,21,28,7,0,,,False
1KV1,2YIX,21,26,7,0,,,False
1KV1,2ZB1,21,26,6,0,,,False
1KV1,3D7Z,21,26,6,0,,,False
1KV1,3D83,21,35,9,0,,,False
1KV1,3E92,21,26,6,0,,,False
1KV1,3E93,21,37,9,0,,,False
1KV1,3GCP,21,27,7,0,,,False
1KV1,3GCS,21,32,11,0,,,False
1KV1,3GCU,21,38,19,0,,,False
1KV1,3HL7,21,28,7,0,,,False
1KV1,3HLL,21,30,7,0,,,False
1KV1,3HUB,21,36,7,0,,,False
1KV1,3HUC,21,27,9,0,,,False
1KV1,3IPH,21,26,6,0,,,False
1KV1,3IW5,21,39,9,0,,,False
1KV1,3IW6,21,29,6,0,,,False
1KV1,3O8P,21,21,21,0,,,False
1KV1,3ROC,21,31,7,0,,,False
1KV1,4DLI,21,21,7,0,,,False
1KV1,4F9W,21,25,6,0,,,False
1YQJ,2BAJ,35,27,6,0,,,False
1YQJ,2BAK,35,43,9,0,,,False
1YQJ,2BAL,35,28,7,0,,,False
1YQJ,2YIX,35,26,7,0,,,False
1YQJ,2ZB1,35,26,10,0,,,False
1YQJ,3D7Z,35,26,10,0,,,False
1YQJ,3D83,35,35,10,0,,,False
1YQJ,3E92,35,26,10,0,,,False
1YQJ,3E93,35,37,10,0,,,False
1YQJ,3GCP,35,27,6,0,,,False
1YQJ,3GCS,35,32,7,0,,,False
1YQJ,3GCU,35,38,8,0,,,False
1YQJ,3HL7,35,28,6,0,,,False
1YQJ,3HLL,35,30,7,0,,,False
1YQJ,3HUB,35,36,7,0,,,False
1YQJ,3HUC,35,27,8,0,,,False
1YQJ,3IPH,35,26,12,0,,,False
1YQJ,3IW5,35,39,7,0,,,False
1YQJ,3IW6,35,29,7,0,,,False
1YQJ,3O8P,35,21,6,0,,,False
1YQJ,3ROC,35,31,7,0,,,False
1YQJ,4DLI,35,21,8,0,,,False
1YQJ,4F9W,35,25,23,0,,,False
2BAJ,2BAK,27,43,9,0,,,False
2BAJ,2BAL,27,28,12,0,,,False
2BAJ,2YIX,27,26,7,0,,,False
2BAJ,2ZB1,27,26,6,0,,,False
2BAJ,3D7Z,27,26,6,0,,,False
2BAJ,3D83,27,35,9,0,,,False
2BAJ,3E92,27,26,6,0,,,False
2BAJ,3E93,27,37,9,0,,,False
2BAJ,3GCP,27,27,7,0,,,False
2BAJ,3GCS,27,32,10,0,,,False
2BAJ,3GCU,27,38,25,0,,,False
2BAJ,3HL7,27,28,7,0,,,False
2BAJ,3HLL,27,30,7,0,,,False
2BAJ,3HUB,27,36,9,0,,,False
2BAJ,3HUC,27,27,9,0,,,False
2BAJ,3IPH,27,26,6,0,,,False
2BAJ,3IW5,27,39,9,0,,,False
2BAJ,3IW6,27,29,6,0,,,False
2BAJ,3O8P,27,21,19,0,,,False
2BAJ,3ROC,27,31,7,0,,,False
2BAJ,4DLI,27,21,7,0,,,False
2BAJ,4F9W,27,25,6,0,,,False
2BAK,2BAL,43,28,7,0,,,False
2BAK,2YIX,43,26,7,0,,,False
2BAK,2ZB1,43,26,7,0,,,False
2BAK,3D7Z,43,26,7,0,,,False
2BAK,3D83,43,35,22,0,,,False
2BAK,3E92,43,26,7,0,,,False
2BAK,3E93,43,37,11,0,,,False
2BAK,3GCP,43,27,6,0,,,False
2BAK,3GCS,43,32,9,0,,,False
2BAK,3GCU,43,38,20,0,,,False
2BAK,3HL7,43,28,6,0,,,False
2BAK,3HLL,43,30,9,0,,,False
2BAK,3HUB,43,36,7,0,,,False
2BAK,3HUC,43,27,20,0,,,False
2BAK,3IPH,43,26,9,0,,,False
2BAK,3IW5,43,39,9,0,,,False
2BAK,3IW6,43,29,7,0,,,False
2BAK,3O8P,43,21,9,0,,,False
2BAK,3ROC,43,31,11,0,,,False
2BAK,4DLI,43,21,18,0,,,False
2BAK,4F9W,43,25,9,0,,,False
2BAL,2YIX,28,26,7,0,,,False
2BAL,2ZB1,28,26,8,0,,,False
2BAL,3D7Z,28,26,8,0,,,False
2BAL,3D83,28,35,8,0,,,False
2BAL,3E92,28,26,8,0,,,False
2BAL,3E93,28,37,8,0,,,False
2BAL,3GCP,28,27,7,0,,,False
2BAL,3GCS,28,32,13,0,,,False
2BAL,3GCU,28,38,12,0,,,False
2BAL,3HL7,28,28,7,0,,,False
2BAL,3HLL,28,30,8,0,,,False
2BAL,3HUB,28,36,11,0,,,False
2BAL,3HUC,28,27,6,0,,,False
2BAL,3IPH,28,26,8,0,,,False
2BAL,3IW5,28,39,9,0,,,False
2BAL,3IW6,28,29,7,0,,,False
2BAL,3O8P,28,21,7,0,,,False
2BAL,3ROC,28,31,8,0,,,False
2BAL,4DLI,28,21,6,0,,,False
2BAL,4F9W,28,25,6,0,,,False
2YIX,2ZB1,26,26,9,0,,,False
2YIX,3D7Z,26,26,9,0,,,False
2YIX,3D83,26,35,9,0,,,False
2YIX,3E92,26,26,8,0,,,False
2YIX,3E93,26,37,8,0,,,False
2YIX,3GCP,26,27,7,0,,,False
2YIX,3GCS,26,32,7,0,,,False
2YIX,3GCU,26,38,7,0,,,False
2YIX,3HL7,26,28,7,0,,,False
2YIX,3HLL,26,30,9,0,,,False
2YIX,3HUB,26,36,8,0,,,False
2YIX,3HUC,26,27,6,0,,,False
2YIX,3IPH,26,26,8,0,,,False
2YIX,3IW5,26,39,9,0,,,False
2YIX,3IW6,26,29,8,0,,,False
2YIX,3O8P,26,21,7,0,,,False
2YIX,3ROC,26,31,9,0,,,False
2YIX,4DLI,26,21,6,0,,,False
2YIX,4F9W,26,25,6,0,,,False
2ZB1,3D7Z,26,26,20,0,,,False
2ZB1,3D83,26,35,20,0,,,False
2ZB1,3E92,26,26,20,0,,,False
2ZB1,3E93,26,37,16,0,,,False
2ZB1,3GCP,26,27,8,0,,,False
2ZB1,3GCS,26,32,7,0,,,False
2ZB1,3GCU,26,38,7,0,,,False
2ZB1,3HL7,26,28,10,0,,,False
2ZB1,3HLL,26,30,10,0,,,False
2ZB1,3HUB,26,36,9,0,,,False
2ZB1,3HUC,26,27,6,0,,,False
2ZB1,3IPH,26,26,9,0,,,False
2ZB1,3IW5,26,39,10,0,,,False
2ZB1,3IW6,26,29,8,0,,,False
2ZB1,3O8P,26,21,6,0,,,False
2ZB1,3ROC,26,31,10,0,,,False
2ZB1,4DLI,26,21,6,0,,,False
2ZB1,4F9W,26,25,10,0,,,False
3D7Z,3D83,26,35,20,0,,,False
3D7Z,3E92,26,26,19,0,,,False
3D7Z,3E93,26,37,16,0,,,False
3D7Z,3GCP,26,27,6,0,,,False
3D7Z,3GCS,26,32,7,0,,,False
3D7Z,3GCU,26,38,7,0,,,False
3D7Z,3HL7,26,28,6,0,,,False
3D7Z,3HLL,26,30,10,0,,,False
3D7Z,3HUB,26,36,9,0,,,False
3D7Z,3HUC,26,27,6,0,,,False
3D7Z,3IPH,26,26,13,0,,,False
3D7Z,3IW5,26,39,10,0,,,False
3D7Z,3IW6,26,29,8,0,,,False
3D7Z,3O8P,26,21,6,0,,,False
3D7Z,3ROC,26,31,10,0,,,False
3D7Z,4DLI,26,21,6,0,,,False
3D7Z,4F9W,26,25,10,0,,,False
3D83,3E92,35,26,13,0,,,False
3D83,3E93,35,37,13,0,,,False
3D83,3GCP,35,27,6,0,,,False
3D83,3GCS,35,32,9,0,,,False
3D83,3GCU,35,38,9,0,,,False
3D83,3HL7,35,28,6,0,,,False
3D83,3HLL,35,30,10,0,,,False
3D83,3HUB,35,36,9,0,,,False
3D83,3HUC,35,27,9,0,,,False
3D83,3IPH,35,26,9,0,,,False
3D83,3IW5,35,39,10,0,,,False
3D83,3IW6,35,29,8,0,,,False
3D83,3O8P,35,21,9,0,,,False
3D83,3ROC,35,31,10,0,,,False
3D83,4DLI,35,21,7,0,,,False
3D83,4F9W,35,25,10,0,,,False
3E92,3E93,26,37,18,0,,,False
3E92,3GCP,26,27,8,0,,,False
3E92,3GCS,26,32,7,0,,,False
3E92,3GCU,26,38,7,0,,,False
3E92,3HL7,26,28,10,0,,,False
3E92,3HLL,26,30,10,0,,,False
3E92,3HUB,26,36,9,0,,,False
3E92,3HUC,26,27,6,0,,,False
3E92,3IPH,26,26,13,0,,,False
3E92,3IW5,26,39,9,0,,,False
3E92,3IW6,26,29,8,0,,,False
3E92,3O8P,26,21,6,0,,,False
3E92,3ROC,26,31,10,0,,,False
3E92,4DLI,26,21,6,0,,,False
3E92,4F9W,26,25,10,0,,,False
3E93,3GCP,37,27,8,0,,,False
3E93,3GCS,37,32,9,0,,,False
3E93,3GCU,37,38,11,0,,,False
3E93,3HL7,37,28,8,0,,,False
3E93,3HLL,37,30,11,0,,,False
3E93,3HUB,37,36,9,0,,,False
3E93,3HUC,37,27,11,0,,,False
3E93,3IPH,37,26,10,0,,,False
3E93,3IW5,37,39,9,0,,,False
3E93,3IW6,37,29,8,0,,,False
3E93,3O8P,37,21,9,0,,,False
3E93,3ROC,37,31,10,0,,,False
3E93,4DLI,37,21,9,0,,,False
3E93,4F9W,37,25,10,0,,,False
3GCP,3GCS,27,32,7,0,,,False
3GCP,3GCU,27,38,6,0,,,False
3GCP,3HL7,27,28,15,0,,,False
3GCP,3HLL,27,30,7,0,,,False
3GCP,3HUB,27,36,10,0,,,False
3GCP,3HUC,27,27,6,0,,,False
3GCP,3IPH,27,26,6,0,,,False
3GCP,3IW5,27,39,9,0,,,False
3GCP,3IW6,27,29,6,0,,,False
3GCP,3O8P,27,21,7,0,,,False
3GCP,3ROC,27,31,7,0,,,False
3GCP,4DLI,27,21,6,0,,,False
3GCP,4F9W,27,25,6,0,,,False
3GCS,3GCU,32,38,10,0,,,False
3GCS,3HL7,32,28,7,0,,,False
3GCS,3HLL,32,30,8,0,,,False
3GCS,3HUB,32,36,8,0,,,False
3GCS,3HUC,32,27,9,0,,,False
3GCS,3IPH,32,26,8,0,,,False
3GCS,3IW5,32,39,12,0,,,False
3GCS,3IW6,32,29,7,0,,,False
3GCS,3O8P,32,21,11,0,,,False
3GCS,3ROC,32,31,8,0,,,False
3GCS,4DLI,32,21,7,0,,,False
3GCS,4F9W,32,25,6,0,,,False
3GCU,3HL7,38,28,6,0,,,False
3GCU,3HLL,38,30,8,0,,,False
3GCU,3HUB,38,36,10,0,,,False
3GCU,3HUC,38,27,20,0,,,False
3GCU,3IPH,38,26,9,0,,,False
3GCU,3IW5,38,39,9,0,,,False
3GCU,3IW6,38,29,7,0,,,False
3GCU,3O8P,38,21,19,0,,,False
3GCU,3ROC,38,31,10,0,,,False
3GCU,4DLI,38,21,18,0,,,False
3GCU,4F9W,38,25,8,0,,,False
3HL7,3HLL,28,30,7,0,,,False
3HL7,3HUB,28,36,9,0,,,False
3HL7,3HUC,28,27,6,0,,,False
3HL7,3IPH,28,26,6,0,,,False
3HL7,3IW5,28,39,8,0,,,False
3HL7,3IW6,28,29,6,0,,,False
3HL7,3O8P,28,21,7,0,,,False
3HL7,3ROC,28,31,7,0,,,False
3HL7,4DLI,28,21,6,0,,,False
3HL7,4F9W,28,25,7,0,,,False
3HLL,3HUB,30,36,9,0,,,False
3HLL,3HUC,30,27,8,0,,,False
3HLL,3IPH,30,26,10,0,,,False
3HLL,3IW5,30,39,10,0,,,False
3HLL,3IW6,30,29,8,0,,,False
3HLL,3O8P,30,21,7,0,,,False
3HLL,3ROC,30,31,28,0,,,False
3HLL,4DLI,30,21,8,0,,,False
3HLL,4F9W,30,25,6,0,,,False
3HUB,3HUC,36,27,6,0,,,False
3HUB,3IPH,36,26,9,0,,,False
3HUB,3IW5,36,39,10,0,,,False
3HUB,3IW6,36,29,15,0,,,False
3HUB,3O8P,36,21,7,0,,,False
3HUB,3ROC,36,31,9,0,,,False
