L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1S9J,2P55,27,25,23,0,,,False
1S9J,3DV3,27,29,24,0,,,False
1S9J,3DY7,27,24,24,0,,,False
1S9J,3E8N,27,31,17,0,,,False
1S9J,3EQB,27,26,17,0,,,False
1S9J,3EQC,27,26,26,0,,,False
1S9J,3EQF,27,35,6,0,,,False
1S9J,3EQG,27,26,26,0,,,False
1S9J,3EQH,27,26,7,0,,,False
1S9J,3MBL,27,25,9,0,,,False
1S9J,3ORN,27,32,24,0,,,False
1S9J,3OS3,27,31,23,0,,,False
1S9J,3PP1,27,28,9,0,,,False
1S9J,3SLS,27,31,9,0,,,False
1S9J,3V01,27,27,9,0,,,False
1S9J,3V04,27,25,22,0,,,False
1S9J,3WIG,27,33,6,0,,,False
1S9J,3ZLS,27,13,0,0,,,False
1S9J,3ZLW,27,16,7,0,,,False
1S9J,3ZLX,27,19,7,0,,,False
1S9J,3ZLY,27,12,8,0,,,False
1S9J,3ZM4,27,18,7,0,,,False
1S9J,4AN2,27,30,20,0,,,False
1S9J,4AN3,27,26,26,0,,,False
2P55,3DV3,25,29,23,0,,,False
2P55,3DY7,25,24,23,0,,,False
2P55,3E8N,25,31,16,0,,,False
2P55,3EQB,25,26,16,0,,,False
2P55,3EQC,25,26,23,0,,,False
2P55,3EQF,25,35,6,0,,,False
2P55,3EQG,25,26,23,0,,,False
2P55,3EQH,25,26,7,0,,,False
2P55,3MBL,25,25,8,0,,,False
2P55,3ORN,25,32,23,0,,,False
2P55,3OS3,25,31,25,0,,,False
2P55,3PP1,25,28,8,0,,,False
2P55,3SLS,25,31,8,0,,,False
2P55,3V01,25,27,8,0,,,False
2P55,3V04,25,25,21,0,,,False
2P55,3WIG,25,33,6,0,,,False
2P55,3ZLS,25,13,0,0,,,False
2P55,3ZLW,25,16,7,0,,,False
2P55,3ZLX,25,19,7,0,,,False
2P55,3ZLY,25,12,8,0,,,False
2P55,3ZM4,25,18,7,0,,,False
2P55,4AN2,25,30,19,0,,,False
2P55,4AN3,25,26,23,0,,,False
3DV3,3DY7,29,24,24,0,,,False
3DV3,3E8N,29,31,17,0,,,False
3DV3,3EQB,29,26,17,0,,,False
3DV3,3EQC,29,26,24,0,,,False
3DV3,3EQF,29,35,6,0,,,False
3DV3,3EQG,29,26,24,0,,,False
