L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2A3I,2AA2,25,26,20,0,,,False
2A3I,2AA5,25,23,23,0,,,False
2A3I,2AA7,25,24,24,0,,,False
2A3I,3VHU,25,29,19,0,,,False
2A3I,3VHV,25,26,0,0,,,False
2A3I,3WFF,25,25,0,0,,,False
2A3I,3WFG,25,25,0,0,,,False
2A3I,4PF3,25,30,0,0,,,False
2A3I,4UDA,25,28,25,0,,,False
2A3I,4UDB,25,34,25,0,,,False
2A3I,5HCV,25,28,0,0,,,False
2A3I,5L7E,25,24,0,0,,,False
2A3I,5L7G,25,31,0,0,,,False
2A3I,5L7H,25,28,0,0,,,False
2A3I,5MWP,25,29,0,0,,,False
2A3I,5MWY,25,30,17,0,,,False
2AA2,2AA5,26,23,19,0,,,False
2AA2,2AA7,26,24,20,0,,,False
2AA2,3VHU,26,29,17,0,,,False
2AA2,3VHV,26,26,0,0,,,False
2AA2,3WFF,26,25,0,0,,,False
2AA2,3WFG,26,25,0,0,,,False
2AA2,4PF3,26,30,0,0,,,False
2AA2,4UDA,26,28,20,0,,,False
2AA2,4UDB,26,34,20,0,,,False
2AA2,5HCV,26,28,0,0,,,False
2AA2,5L7E,26,24,0,0,,,False
2AA2,5L7G,26,31,0,0,,,False
2AA2,5L7H,26,28,0,0,,,False
2AA2,5MWP,26,29,0,0,,,False
2AA2,5MWY,26,30,19,0,,,False
2AA5,2AA7,23,24,23,0,,,False
2AA5,3VHU,23,29,19,0,,,False
2AA5,3VHV,23,26,0,0,,,False
2AA5,3WFF,23,25,0,0,,,False
2AA5,3WFG,23,25,0,0,,,False
2AA5,4PF3,23,30,0,0,,,False
2AA5,4UDA,23,28,23,0,,,False
2AA5,4UDB,23,34,23,0,,,False
2AA5,5HCV,23,28,0,0,,,False
2AA5,5L7E,23,24,0,0,,,False
2AA5,5L7G,23,31,0,0,,,False
2AA5,5L7H,23,28,0,0,,,False
2AA5,5MWP,23,29,0,0,,,False
2AA5,5MWY,23,30,17,0,,,False
2AA7,3VHU,24,29,19,0,,,False
2AA7,3VHV,24,26,0,0,,,False
2AA7,3WFF,24,25,0,0,,,False
