L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1BJU,1BJV,20,26,19,0,,,False
1BJU,1BTY,20,9,9,0,,,False
1BJU,1C1R,20,22,9,0,,,False
1BJU,1C5P,20,9,9,0,,,False
1BJU,1C5Q,20,13,7,0,,,False
1BJU,1C5S,20,12,6,0,,,False
1BJU,1C5T,20,12,0,0,,,False
1BJU,1EB2,20,35,9,0,,,False
1BJU,1F0T,20,30,9,0,,,False
1BJU,1F0U,20,34,9,0,,,False
1BJU,1G36,20,32,11,0,,,False
1BJU,1G3D,20,17,9,0,,,False
1BJU,1G3E,20,17,9,0,,,False
1BJU,1GHZ,20,19,9,0,,,False
1BJU,1GI1,20,19,9,0,,,False
1BJU,1GI4,20,19,9,0,,,False
1BJU,1GJ6,20,26,9,0,,,False
1BJU,1K1I,20,36,9,0,,,False
1BJU,1K1J,20,37,9,0,,,False
1BJU,1K1L,20,33,9,0,,,False
1BJU,1K1M,20,36,9,0,,,False
1BJU,1K1N,20,42,9,0,,,False
1BJU,1K1O,20,31,0,0,,,False
1BJU,1O2H,20,25,9,0,,,False
1BJV,1BTY,26,9,9,0,,,False
1BJV,1C1R,26,22,9,0,,,False
1BJV,1C5P,26,9,9,0,,,False
1BJV,1C5Q,26,13,6,0,,,False
1BJV,1C5S,26,12,6,0,,,False
1BJV,1C5T,26,12,0,0,,,False
1BJV,1EB2,26,35,9,0,,,False
1BJV,1F0T,26,30,9,0,,,False
1BJV,1F0U,26,34,9,0,,,False
1BJV,1G36,26,32,11,0,,,False
1BJV,1G3D,26,17,9,0,,,False
1BJV,1G3E,26,17,9,0,,,False
1BJV,1GHZ,26,19,9,0,,,False
1BJV,1GI1,26,19,9,0,,,False
1BJV,1GI4,26,19,9,0,,,False
1BJV,1GJ6,26,26,9,0,,,False
1BJV,1K1I,26,36,9,0,,,False
1BJV,1K1J,26,37,9,0,,,False
1BJV,1K1L,26,33,9,0,,,False
1BJV,1K1M,26,36,9,0,,,False
1BJV,1K1N,26,42,9,0,,,False
1BJV,1K1O,26,31,0,0,,,False
1BJV,1O2H,26,25,9,0,,,False
1BTY,1C1R,9,22,9,0,,,False
1BTY,1C5P,9,9,9,0,,,False
1BTY,1C5Q,9,13,6,0,,,False
1BTY,1C5S,9,12,6,0,,,False
1BTY,1C5T,9,12,0,0,,,False
1BTY,1EB2,9,35,9,0,,,False
1BTY,1F0T,9,30,9,0,,,False
1BTY,1F0U,9,34,9,0,,,False
1BTY,1G36,9,32,9,0,,,False
1BTY,1G3D,9,17,9,0,,,False
1BTY,1G3E,9,17,9,0,,,False
1BTY,1GHZ,9,19,9,0,,,False
1BTY,1GI1,9,19,9,0,,,False
1BTY,1GI4,9,19,9,0,,,False
1BTY,1GJ6,9,26,9,0,,,False
1BTY,1K1I,9,36,9,0,,,False
1BTY,1K1J,9,37,9,0,,,False
1BTY,1K1L,9,33,9,0,,,False
1BTY,1K1M,9,36,9,0,,,False
1BTY,1K1N,9,42,9,0,,,False
1BTY,1K1O,9,31,0,0,,,False
1BTY,1O2H,9,25,9,0,,,False
1C1R,1C5P,22,9,9,0,,,False
1C1R,1C5Q,22,13,6,0,,,False
1C1R,1C5S,22,12,6,0,,,False
1C1R,1C5T,22,12,0,0,,,False
1C1R,1EB2,22,35,9,0,,,False
1C1R,1F0T,22,30,9,0,,,False
1C1R,1F0U,22,34,9,0,,,False
1C1R,1G36,22,32,11,0,,,False
1C1R,1G3D,22,17,9,0,,,False
1C1R,1G3E,22,17,9,0,,,False
1C1R,1GHZ,22,19,12,0,,,False
1C1R,1GI1,22,19,12,0,,,False
1C1R,1GI4,22,19,12,0,,,False
1C1R,1GJ6,22,26,11,0,,,False
1C1R,1K1I,22,36,9,0,,,False
1C1R,1K1J,22,37,9,0,,,False
1C1R,1K1L,22,33,9,0,,,False
1C1R,1K1M,22,36,9,0,,,False
1C1R,1K1N,22,42,9,0,,,False
1C1R,1K1O,22,31,0,0,,,False
1C1R,1O2H,22,25,11,0,,,False
1C5P,1C5Q,9,13,6,0,,,False
1C5P,1C5S,9,12,6,0,,,False
1C5P,1C5T,9,12,0,0,,,False
1C5P,1EB2,9,35,9,0,,,False
1C5P,1F0T,9,30,9,0,,,False
1C5P,1F0U,9,34,9,0,,,False
1C5P,1G36,9,32,9,0,,,False
1C5P,1G3D,9,17,9,0,,,False
1C5P,1G3E,9,17,9,0,,,False
1C5P,1GHZ,9,19,9,0,,,False
1C5P,1GI1,9,19,9,0,,,False
1C5P,1GI4,9,19,9,0,,,False
1C5P,1GJ6,9,26,9,0,,,False
1C5P,1K1I,9,36,9,0,,,False
1C5P,1K1J,9,37,9,0,,,False
1C5P,1K1L,9,33,9,0,,,False
1C5P,1K1M,9,36,9,0,,,False
1C5P,1K1N,9,42,9,0,,,False
1C5P,1K1O,9,31,0,0,,,False
1C5P,1O2H,9,25,9,0,,,False
1C5Q,1C5S,13,12,12,0,,,False
1C5Q,1C5T,13,12,6,0,,,False
1C5Q,1EB2,13,35,6,0,,,False
1C5Q,1F0T,13,30,6,0,,,False
1C5Q,1F0U,13,34,6,0,,,False
1C5Q,1G36,13,32,6,0,,,False
1C5Q,1G3D,13,17,6,0,,,False
1C5Q,1G3E,13,17,6,0,,,False
1C5Q,1GHZ,13,19,6,0,,,False
1C5Q,1GI1,13,19,7,0,,,False
1C5Q,1GI4,13,19,7,0,,,False
1C5Q,1GJ6,13,26,8,0,,,False
1C5Q,1K1I,13,36,6,0,,,False
1C5Q,1K1J,13,37,6,0,,,False
1C5Q,1K1L,13,33,6,0,,,False
1C5Q,1K1M,13,36,6,0,,,False
1C5Q,1K1N,13,42,6,0,,,False
1C5Q,1K1O,13,31,0,0,,,False
1C5Q,1O2H,13,25,8,0,,,False
1C5S,1C5T,12,12,6,0,,,False
1C5S,1EB2,12,35,6,0,,,False
1C5S,1F0T,12,30,6,0,,,False
1C5S,1F0U,12,34,6,0,,,False
1C5S,1G36,12,32,6,0,,,False
1C5S,1G3D,12,17,6,0,,,False
1C5S,1G3E,12,17,6,0,,,False
1C5S,1GHZ,12,19,6,0,,,False
1C5S,1GI1,12,19,7,0,,,False
1C5S,1GI4,12,19,7,0,,,False
1C5S,1GJ6,12,26,8,0,,,False
1C5S,1K1I,12,36,6,0,,,False
1C5S,1K1J,12,37,6,0,,,False
1C5S,1K1L,12,33,6,0,,,False
1C5S,1K1M,12,36,6,0,,,False
1C5S,1K1N,12,42,6,0,,,False
1C5S,1K1O,12,31,0,0,,,False
1C5S,1O2H,12,25,8,0,,,False
1C5T,1EB2,12,35,0,0,,,False
1C5T,1F0T,12,30,7,0,,,False
1C5T,1F0U,12,34,0,0,,,False
1C5T,1G36,12,32,0,0,,,False
1C5T,1G3D,12,17,0,0,,,False
1C5T,1G3E,12,17,0,0,,,False
1C5T,1GHZ,12,19,0,0,,,False
1C5T,1GI1,12,19,0,0,,,False
1C5T,1GI4,12,19,0,0,,,False
1C5T,1GJ6,12,26,0,0,,,False
1C5T,1K1I,12,36,0,0,,,False
1C5T,1K1J,12,37,0,0,,,False
1C5T,1K1L,12,33,0,0,,,False
1C5T,1K1M,12,36,0,0,,,False
1C5T,1K1N,12,42,0,0,,,False
1C5T,1K1O,12,31,0,0,,,False
1C5T,1O2H,12,25,0,0,,,False
1EB2,1F0T,35,30,10,0,,,False
1EB2,1F0U,35,34,11,0,,,False
1EB2,1G36,35,32,9,0,,,False
1EB2,1G3D,35,17,14,0,,,False
1EB2,1G3E,35,17,11,0,,,False
1EB2,1GHZ,35,19,9,0,,,False
1EB2,1GI1,35,19,9,0,,,False
1EB2,1GI4,35,19,9,0,,,False
1EB2,1GJ6,35,26,9,0,,,False
1EB2,1K1I,35,36,10,0,,,False
1EB2,1K1J,35,37,12,0,,,False
1EB2,1K1L,35,33,9,0,,,False
1EB2,1K1M,35,36,9,0,,,False
1EB2,1K1N,35,42,12,0,,,False
1EB2,1K1O,35,31,11,0,,,False
1EB2,1O2H,35,25,9,0,,,False
1F0T,1F0U,30,34,10,0,,,False
1F0T,1G36,30,32,9,0,,,False
1F0T,1G3D,30,17,11,0,,,False
1F0T,1G3E,30,17,9,0,,,False
1F0T,1GHZ,30,19,9,0,,,False
1F0T,1GI1,30,19,9,0,,,False
1F0T,1GI4,30,19,9,0,,,False
1F0T,1GJ6,30,26,9,0,,,False
1F0T,1K1I,30,36,10,0,,,False
1F0T,1K1J,30,37,10,0,,,False
1F0T,1K1L,30,33,10,0,,,False
1F0T,1K1M,30,36,10,0,,,False
1F0T,1K1N,30,42,9,0,,,False
1F0T,1K1O,30,31,0,0,,,False
1F0T,1O2H,30,25,9,0,,,False
1F0U,1G36,34,32,9,0,,,False
1F0U,1G3D,34,17,11,0,,,False
1F0U,1G3E,34,17,11,0,,,False
1F0U,1GHZ,34,19,9,0,,,False
1F0U,1GI1,34,19,9,0,,,False
1F0U,1GI4,34,19,9,0,,,False
1F0U,1GJ6,34,26,12,0,,,False
1F0U,1K1I,34,36,13,0,,,False
1F0U,1K1J,34,37,13,0,,,False
1F0U,1K1L,34,33,13,0,,,False
1F0U,1K1M,34,36,13,0,,,False
1F0U,1K1N,34,42,10,0,,,False
1F0U,1K1O,34,31,6,0,,,False
1F0U,1O2H,34,25,9,0,,,False
1G36,1G3D,32,17,9,0,,,False
1G36,1G3E,32,17,9,0,,,False
1G36,1GHZ,32,19,10,0,,,False
1G36,1GI1,32,19,10,0,,,False
1G36,1GI4,32,19,10,0,,,False
1G36,1GJ6,32,26,9,0,,,False
1G36,1K1I,32,36,9,0,,,False
1G36,1K1J,32,37,9,0,,,False
1G36,1K1L,32,33,9,0,,,False
1G36,1K1M,32,36,9,0,,,False
1G36,1K1N,32,42,9,0,,,False
1G36,1K1O,32,31,0,0,,,False
1G36,1O2H,32,25,9,0,,,False
1G3D,1G3E,17,17,14,0,,,False
1G3D,1GHZ,17,19,9,0,,,False
1G3D,1GI1,17,19,9,0,,,False
1G3D,1GI4,17,19,9,0,,,False
1G3D,1GJ6,17,26,9,0,,,False
1G3D,1K1I,17,36,10,0,,,False
1G3D,1K1J,17,37,10,0,,,False
1G3D,1K1L,17,33,10,0,,,False
1G3D,1K1M,17,36,10,0,,,False
1G3D,1K1N,17,42,9,0,,,False
1G3D,1K1O,17,31,6,0,,,False
1G3D,1O2H,17,25,9,0,,,False
1G3E,1GHZ,17,19,9,0,,,False
1G3E,1GI1,17,19,9,0,,,False
1G3E,1GI4,17,19,9,0,,,False
1G3E,1GJ6,17,26,9,0,,,False
1G3E,1K1I,17,36,9,0,,,False
1G3E,1K1J,17,37,9,0,,,False
