L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
3UI7,3UUO,24,23,17,0,,,False
3UI7,4DFF,24,22,9,0,,,False
3UI7,4HF4,24,32,10,0,,,False
3UI7,4LKQ,24,11,7,0,,,False
3UI7,4LLJ,24,11,6,0,,,False
3UI7,4LLK,24,12,8,0,,,False
3UI7,4LLP,24,9,8,0,,,False
3UI7,4LLX,24,9,0,0,,,False
3UI7,4LM0,24,12,7,0,,,False
3UI7,4LM1,24,13,8,0,,,False
3UI7,4LM2,24,12,8,0,,,False
3UI7,4LM3,24,13,8,0,,,False
3UI7,4LM4,24,11,8,0,,,False
3UI7,4MRW,24,12,8,0,,,False
3UI7,4MRZ,24,11,0,0,,,False
3UI7,4MSA,24,12,7,0,,,False
3UI7,4MSC,24,22,8,0,,,False
3UI7,4MSN,24,13,8,0,,,False
3UI7,4ZO5,24,36,9,0,,,False
3UI7,5C1W,24,12,0,0,,,False
3UI7,5C28,24,12,0,0,,,False
3UI7,5C2A,24,20,0,0,,,False
3UI7,5C2H,24,31,8,0,,,False
3UUO,4DFF,23,22,9,0,,,False
3UUO,4HF4,23,32,10,0,,,False
3UUO,4LKQ,23,11,9,0,,,False
3UUO,4LLJ,23,11,6,0,,,False
3UUO,4LLK,23,12,10,0,,,False
3UUO,4LLP,23,9,8,0,,,False
3UUO,4LLX,23,9,0,0,,,False
3UUO,4LM0,23,12,7,0,,,False
3UUO,4LM1,23,13,8,0,,,False
3UUO,4LM2,23,12,8,0,,,False
3UUO,4LM3,23,13,8,0,,,False
3UUO,4LM4,23,11,10,0,,,False
3UUO,4MRW,23,12,8,0,,,False
3UUO,4MRZ,23,11,6,0,,,False
3UUO,4MSA,23,12,7,0,,,False
3UUO,4MSC,23,22,8,0,,,False
3UUO,4MSN,23,13,8,0,,,False
3UUO,4ZO5,23,36,10,0,,,False
3UUO,5C1W,23,12,7,0,,,False
3UUO,5C28,23,12,7,0,,,False
3UUO,5C2A,23,20,7,0,,,False
3UUO,5C2H,23,31,8,0,,,False
4DFF,4HF4,22,32,7,0,,,False
4DFF,4LKQ,22,11,0,0,,,False
4DFF,4LLJ,22,11,9,0,,,False
4DFF,4LLK,22,12,7,0,,,False
4DFF,4LLP,22,9,7,0,,,False
4DFF,4LLX,22,9,0,0,,,False
4DFF,4LM0,22,12,8,0,,,False
4DFF,4LM1,22,13,8,0,,,False
4DFF,4LM2,22,12,8,0,,,False
4DFF,4LM3,22,13,8,0,,,False
4DFF,4LM4,22,11,7,0,,,False
4DFF,4MRW,22,12,8,0,,,False
4DFF,4MRZ,22,11,0,0,,,False
4DFF,4MSA,22,12,6,0,,,False
4DFF,4MSC,22,22,10,0,,,False
4DFF,4MSN,22,13,8,0,,,False
4DFF,4ZO5,22,36,11,0,,,False
4DFF,5C1W,22,12,0,0,,,False
4DFF,5C28,22,12,0,0,,,False
4DFF,5C2A,22,20,5,0,,,False
4DFF,5C2H,22,31,8,0,,,False
4HF4,4LKQ,32,11,0,0,,,False
4HF4,4LLJ,32,11,6,0,,,False
4HF4,4LLK,32,12,7,0,,,False
4HF4,4LLP,32,9,8,0,,,False
4HF4,4LLX,32,9,7,0,,,False
4HF4,4LM0,32,12,7,0,,,False
4HF4,4LM1,32,13,7,0,,,False
4HF4,4LM2,32,12,9,0,,,False
4HF4,4LM3,32,13,9,0,,,False
4HF4,4LM4,32,11,7,0,,,False
4HF4,4MRW,32,12,7,0,,,False
4HF4,4MRZ,32,11,9,0,,,False
4HF4,4MSA,32,12,8,0,,,False
4HF4,4MSC,32,22,7,0,,,False
4HF4,4MSN,32,13,7,0,,,False
4HF4,4ZO5,32,36,8,0,,,False
4HF4,5C1W,32,12,6,0,,,False
4HF4,5C28,32,12,6,0,,,False
4HF4,5C2A,32,20,6,0,,,False
4HF4,5C2H,32,31,7,0,,,False
4LKQ,4LLJ,11,11,0,0,,,False
4LKQ,4LLK,11,12,0,0,,,False
4LKQ,4LLP,11,9,0,0,,,False
4LKQ,4LLX,11,9,0,0,,,False
4LKQ,4LM0,11,12,0,0,,,False
4LKQ,4LM1,11,13,0,0,,,False
4LKQ,4LM2,11,12,0,0,,,False
4LKQ,4LM3,11,13,0,0,,,False
4LKQ,4LM4,11,11,0,0,,,False
4LKQ,4MRW,11,12,0,0,,,False
4LKQ,4MRZ,11,11,0,0,,,False
4LKQ,4MSA,11,12,0,0,,,False
4LKQ,4MSC,11,22,0,0,,,False
4LKQ,4MSN,11,13,0,0,,,False
4LKQ,4ZO5,11,36,0,0,,,False
4LKQ,5C1W,11,12,7,0,,,False
4LKQ,5C28,11,12,8,0,,,False
4LKQ,5C2A,11,20,8,0,,,False
4LKQ,5C2H,11,31,0,0,,,False
4LLJ,4LLK,11,12,6,0,,,False
4LLJ,4LLP,11,9,6,0,,,False
4LLJ,4LLX,11,9,0,0,,,False
4LLJ,4LM0,11,12,8,0,,,False
4LLJ,4LM1,11,13,6,0,,,False
4LLJ,4LM2,11,12,6,0,,,False
4LLJ,4LM3,11,13,6,0,,,False
4LLJ,4LM4,11,11,6,0,,,False
4LLJ,4MRW,11,12,6,0,,,False
4LLJ,4MRZ,11,11,0,0,,,False
4LLJ,4MSA,11,12,6,0,,,False
