L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1C5X,1C5Y,13,12,6,0,,,False
1C5X,1C5Z,13,9,6,0,,,False
1C5X,1EJN,13,25,6,0,,,False
1C5X,1F5K,13,9,6,0,,,False
1C5X,1F5L,13,15,0,0,,,False
1C5X,1GI7,13,19,6,0,,,False
1C5X,1GJ7,13,26,8,0,,,False
1C5X,1GJ8,13,25,7,0,,,False
1C5X,1GJA,13,19,6,0,,,False
1C5X,1GJC,13,25,7,0,,,False
1C5X,1GJD,13,22,7,0,,,False
1C5X,1O3P,13,25,7,0,,,False
1C5X,1O5A,13,25,8,0,,,False
1C5X,1O5B,13,13,13,0,,,False
1C5X,1O5C,13,28,7,0,,,False
1C5X,1OWE,13,22,6,0,,,False
1C5X,1OWH,13,24,6,0,,,False
1C5X,1SQA,13,31,6,0,,,False
1C5X,1SQO,13,20,6,0,,,False
1C5X,1SQT,13,24,8,0,,,False
1C5X,1W0Z,13,29,6,0,,,False
1C5X,1W11,13,32,6,0,,,False
1C5X,1W13,13,33,6,0,,,False
1C5X,2VNT,13,26,6,0,,,False
1C5Y,1C5Z,12,9,0,0,,,False
1C5Y,1EJN,12,25,0,0,,,False
1C5Y,1F5K,12,9,0,0,,,False
1C5Y,1F5L,12,15,0,0,,,False
1C5Y,1GI7,12,19,0,0,,,False
1C5Y,1GJ7,12,26,0,0,,,False
1C5Y,1GJ8,12,25,0,0,,,False
1C5Y,1GJA,12,19,0,0,,,False
1C5Y,1GJC,12,25,0,0,,,False
1C5Y,1GJD,12,22,0,0,,,False
1C5Y,1O3P,12,25,0,0,,,False
1C5Y,1O5A,12,25,0,0,,,False
1C5Y,1O5B,12,13,6,0,,,False
1C5Y,1O5C,12,28,0,0,,,False
1C5Y,1OWE,12,22,0,0,,,False
1C5Y,1OWH,12,24,0,0,,,False
1C5Y,1SQA,12,31,0,0,,,False
1C5Y,1SQO,12,20,0,0,,,False
1C5Y,1SQT,12,24,0,0,,,False
