L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2OWB,2RKU,32,38,11,0,,,False
2OWB,2YAC,32,38,13,0,,,False
2OWB,3FC2,32,45,11,0,,,False
2OWB,3KB7,32,33,13,0,,,False
2OWB,3THB,32,31,7,0,,,False
2OWB,4A4L,32,34,13,0,,,False
2OWB,4A4O,32,36,13,0,,,False
2OWB,4J52,32,40,11,0,,,False
2OWB,4J53,32,40,11,0,,,False
2OWB,5TA6,32,41,11,0,,,False
2OWB,5TA8,32,39,11,0,,,False
2RKU,2YAC,38,38,15,0,,,False
2RKU,3FC2,38,45,29,0,,,False
2RKU,3KB7,38,33,15,0,,,False
2RKU,3THB,38,31,12,0,,,False
2RKU,4A4L,38,34,15,0,,,False
2RKU,4A4O,38,36,15,0,,,False
2RKU,4J52,38,40,26,0,,,False
2RKU,4J53,38,40,33,0,,,False
2RKU,5TA6,38,41,32,0,,,False
2RKU,5TA8,38,39,33,0,,,False
2YAC,3FC2,38,45,15,0,,,False
2YAC,3KB7,38,33,33,0,,,False
2YAC,3THB,38,31,9,0,,,False
2YAC,4A4L,38,34,33,0,,,False
2YAC,4A4O,38,36,30,0,,,False
2YAC,4J52,38,40,15,0,,,False
2YAC,4J53,38,40,15,0,,,False
2YAC,5TA6,38,41,15,0,,,False
2YAC,5TA8,38,39,15,0,,,False
3FC2,3KB7,45,33,15,0,,,False
3FC2,3THB,45,31,12,0,,,False
3FC2,4A4L,45,34,15,0,,,False
3FC2,4A4O,45,36,15,0,,,False
3FC2,4J52,45,40,20,0,,,False
3FC2,4J53,45,40,24,0,,,False
3FC2,5TA6,45,41,27,0,,,False
3FC2,5TA8,45,39,24,0,,,False
3KB7,3THB,33,31,9,0,,,False
3KB7,4A4L,33,34,30,0,,,False
3KB7,4A4O,33,36,27,0,,,False
3KB7,4J52,33,40,15,0,,,False
3KB7,4J53,33,40,15,0,,,False
3KB7,5TA6,33,41,15,0,,,False
3KB7,5TA8,33,39,15,0,,,False
3THB,4A4L,31,34,7,0,,,False
3THB,4A4O,31,36,7,0,,,False
3THB,4J52,31,40,7,0,,,False
3THB,4J53,31,40,8,0,,,False
3THB,5TA6,31,41,7,0,,,False
3THB,5TA8,31,39,7,0,,,False
4A4L,4A4O,34,36,31,0,,,False
4A4L,4J52,34,40,15,0,,,False
4A4L,4J53,34,40,15,0,,,False
4A4L,5TA6,34,41,15,0,,,False
4A4L,5TA8,34,39,15,0,,,False
4A4O,4J52,36,40,15,0,,,False
4A4O,4J53,36,40,15,0,,,False
4A4O,5TA6,36,41,15,0,,,False
4A4O,5TA8,36,39,15,0,,,False
4J52,4J53,40,40,31,0,,,False
4J52,5TA6,40,41,24,0,,,False
4J52,5TA8,40,39,31,0,,,False
4J53,5TA6,40,41,29,0,,,False
4J53,5TA8,40,39,39,0,,,False
5TA6,5TA8,41,39,29,0,,,False
