L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1BZC,1BZJ,29,20,19,0,,,False
1BZC,1C83,29,18,8,0,,,False
1BZC,1C84,29,19,12,0,,,False
1BZC,1C86,29,18,0,0,,,False
1BZC,1C87,29,18,0,0,,,False
1BZC,1C88,29,18,0,0,,,False
1BZC,1ECV,29,16,8,0,,,False
1BZC,1G7F,29,39,7,0,,,False
1BZC,1G7G,29,43,8,0,,,False
1BZC,1GFY,29,18,0,0,,,False
1BZC,1KAV,29,30,13,0,,,False
1BZC,1L8G,29,31,6,0,,,False
1BZC,1NL9,29,39,11,0,,,False
1BZC,1NNY,29,53,12,0,,,False
1BZC,1NO6,29,25,10,0,,,False
1BZC,1NWL,29,31,0,0,,,False
1BZC,1NZ7,29,47,8,0,,,False
1BZC,1ONY,29,41,8,0,,,False
1BZC,1ONZ,29,26,10,0,,,False
1BZC,1PYN,29,43,8,0,,,False
1BZC,1QXK,29,37,8,0,,,False
1BZC,1XBO,29,31,8,0,,,False
1BZC,2AZR,29,17,0,0,,,False
1BZC,2B07,29,37,7,0,,,False
1BZJ,1C83,20,18,9,0,,,False
1BZJ,1C84,20,19,13,0,,,False
1BZJ,1C86,20,18,0,0,,,False
1BZJ,1C87,20,18,0,0,,,False
1BZJ,1C88,20,18,0,0,,,False
1BZJ,1ECV,20,16,9,0,,,False
1BZJ,1G7F,20,39,7,0,,,False
1BZJ,1G7G,20,43,9,0,,,False
1BZJ,1GFY,20,18,0,0,,,False
1BZJ,1KAV,20,30,13,0,,,False
1BZJ,1L8G,20,31,6,0,,,False
1BZJ,1NL9,20,39,11,0,,,False
1BZJ,1NNY,20,53,13,0,,,False
1BZJ,1NO6,20,25,10,0,,,False
1BZJ,1NWL,20,31,0,0,,,False
1BZJ,1NZ7,20,47,9,0,,,False
1BZJ,1ONY,20,41,9,0,,,False
1BZJ,1ONZ,20,26,10,0,,,False
1BZJ,1PYN,20,43,9,0,,,False
1BZJ,1QXK,20,37,9,0,,,False
1BZJ,1XBO,20,31,9,0,,,False
1BZJ,2AZR,20,17,0,0,,,False
1BZJ,2B07,20,37,7,0,,,False
1C83,1C84,18,19,15,0,,,False
1C83,1C86,18,18,6,0,,,False
1C83,1C87,18,18,6,0,,,False
1C83,1C88,18,18,6,0,,,False
1C83,1ECV,18,16,15,0,,,False
1C83,1G7F,18,39,7,0,,,False
1C83,1G7G,18,43,9,0,,,False
1C83,1GFY,18,18,6,0,,,False
1C83,1KAV,18,30,7,0,,,False
1C83,1L8G,18,31,7,0,,,False
1C83,1NL9,18,39,15,0,,,False
1C83,1NNY,18,53,15,0,,,False
1C83,1NO6,18,25,15,0,,,False
1C83,1NWL,18,31,0,0,,,False
1C83,1NZ7,18,47,15,0,,,False
1C83,1ONY,18,41,15,0,,,False
1C83,1ONZ,18,26,15,0,,,False
1C83,1PYN,18,43,9,0,,,False
1C83,1QXK,18,37,9,0,,,False
1C83,1XBO,18,31,9,0,,,False
1C83,2AZR,18,17,0,0,,,False
1C83,2B07,18,37,9,0,,,False
1C84,1C86,19,18,6,0,,,False
1C84,1C87,19,18,6,0,,,False
1C84,1C88,19,18,6,0,,,False
1C84,1ECV,19,16,15,0,,,False
1C84,1G7F,19,39,7,0,,,False
1C84,1G7G,19,43,9,0,,,False
1C84,1GFY,19,18,6,0,,,False
1C84,1KAV,19,30,7,0,,,False
1C84,1L8G,19,31,6,0,,,False
1C84,1NL9,19,39,16,0,,,False
1C84,1NNY,19,53,16,0,,,False
1C84,1NO6,19,25,16,0,,,False
1C84,1NWL,19,31,0,0,,,False
1C84,1NZ7,19,47,15,0,,,False
1C84,1ONY,19,41,15,0,,,False
1C84,1ONZ,19,26,16,0,,,False
1C84,1PYN,19,43,9,0,,,False
1C84,1QXK,19,37,9,0,,,False
1C84,1XBO,19,31,9,0,,,False
1C84,2AZR,19,17,0,0,,,False
1C84,2B07,19,37,7,0,,,False
1C86,1C87,18,18,18,0,,,False
1C86,1C88,18,18,17,0,,,False
1C86,1ECV,18,16,6,0,,,False
1C86,1G7F,18,39,0,0,,,False
1C86,1G7G,18,43,0,0,,,False
1C86,1GFY,18,18,17,0,,,False
1C86,1KAV,18,30,0,0,,,False
1C86,1L8G,18,31,18,0,,,False
1C86,1NL9,18,39,6,0,,,False
1C86,1NNY,18,53,6,0,,,False
1C86,1NO6,18,25,6,0,,,False
1C86,1NWL,18,31,0,0,,,False
1C86,1NZ7,18,47,6,0,,,False
1C86,1ONY,18,41,6,0,,,False
1C86,1ONZ,18,26,6,0,,,False
1C86,1PYN,18,43,0,0,,,False
1C86,1QXK,18,37,0,0,,,False
1C86,1XBO,18,31,6,0,,,False
1C86,2AZR,18,17,7,0,,,False
1C86,2B07,18,37,7,0,,,False
1C87,1C88,18,18,17,0,,,False
