L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1A8I,2G9Q,17,9,0,0,,,False
1A8I,2PYI,17,26,11,0,,,False
1A8I,2QRG,17,23,12,0,,,False
1A8I,2QRH,17,21,12,0,,,False
1A8I,2QRM,17,24,12,0,,,False
1A8I,2QRP,17,25,12,0,,,False
1A8I,2QRQ,17,22,12,0,,,False
1A8I,3EBP,17,28,6,0,,,False
1A8I,3G2H,17,22,13,0,,,False
1A8I,3G2I,17,18,13,0,,,False
1A8I,3G2J,17,16,11,0,,,False
1A8I,3G2K,17,26,13,0,,,False
1A8I,3G2L,17,26,13,0,,,False
1A8I,3G2N,17,20,11,0,,,False
1A8I,3L79,17,19,10,0,,,False
1A8I,3L7A,17,27,10,0,,,False
1A8I,3L7B,17,19,10,0,,,False
1A8I,3L7C,17,20,10,0,,,False
1A8I,3L7D,17,26,9,0,,,False
1A8I,3SYM,17,22,11,0,,,False
1A8I,3SYR,17,20,11,0,,,False
1A8I,4EKY,17,24,11,0,,,False
1A8I,4EL0,17,24,11,0,,,False
1A8I,4EL5,17,21,11,0,,,False
2G9Q,2PYI,9,26,0,0,,,False
2G9Q,2QRG,9,23,0,0,,,False
2G9Q,2QRH,9,21,0,0,,,False
2G9Q,2QRM,9,24,0,0,,,False
2G9Q,2QRP,9,25,0,0,,,False
2G9Q,2QRQ,9,22,0,0,,,False
2G9Q,3EBP,9,28,0,0,,,False
2G9Q,3G2H,9,22,0,0,,,False
2G9Q,3G2I,9,18,0,0,,,False
2G9Q,3G2J,9,16,0,0,,,False
2G9Q,3G2K,9,26,0,0,,,False
2G9Q,3G2L,9,26,0,0,,,False
2G9Q,3G2N,9,20,0,0,,,False
2G9Q,3L79,9,19,0,0,,,False
2G9Q,3L7A,9,27,0,0,,,False
2G9Q,3L7B,9,19,0,0,,,False
2G9Q,3L7C,9,20,0,0,,,False
2G9Q,3L7D,9,26,0,0,,,False
2G9Q,3SYM,9,22,0,0,,,False
2G9Q,3SYR,9,20,0,0,,,False
2G9Q,4EKY,9,24,0,0,,,False
2G9Q,4EL0,9,24,0,0,,,False
2G9Q,4EL5,9,21,0,0,,,False
2PYI,2QRG,26,23,11,0,,,False
2PYI,2QRH,26,21,11,0,,,False
2PYI,2QRM,26,24,11,0,,,False
2PYI,2QRP,26,25,11,0,,,False
2PYI,2QRQ,26,22,11,0,,,False
2PYI,3EBP,26,28,8,0,,,False
2PYI,3G2H,26,22,11,0,,,False
2PYI,3G2I,26,18,11,0,,,False
2PYI,3G2J,26,16,15,0,,,False
2PYI,3G2K,26,26,11,0,,,False
2PYI,3G2L,26,26,11,0,,,False
2PYI,3G2N,26,20,14,0,,,False
2PYI,3L79,26,19,11,0,,,False
2PYI,3L7A,26,27,11,0,,,False
2PYI,3L7B,26,19,11,0,,,False
2PYI,3L7C,26,20,11,0,,,False
2PYI,3L7D,26,26,10,0,,,False
2PYI,3SYM,26,22,12,0,,,False
2PYI,3SYR,26,20,12,0,,,False
2PYI,4EKY,26,24,12,0,,,False
2PYI,4EL0,26,24,12,0,,,False
2PYI,4EL5,26,21,12,0,,,False
2QRG,2QRH,23,21,21,0,,,False
2QRG,2QRM,23,24,21,0,,,False
2QRG,2QRP,23,25,21,0,,,False
2QRG,2QRQ,23,22,21,0,,,False
2QRG,3EBP,23,28,7,0,,,False
2QRG,3G2H,23,22,11,0,,,False
