L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
4JKV,4N4W,37,28,10,0,,,False
4JKV,4O9R,37,30,0,0,,,False
4JKV,4QIM,37,33,15,0,,,False
4JKV,4QIN,37,36,14,0,,,False
4JKV,5L7I,37,27,12,0,,,False
4JKV,5V57,37,39,36,0,,,False
4N4W,4O9R,28,30,0,0,,,False
4N4W,4QIM,28,33,7,0,,,False
4N4W,4QIN,28,36,10,0,,,False
4N4W,5L7I,28,27,8,0,,,False
4N4W,5V57,28,39,10,0,,,False
4O9R,4QIM,30,33,6,0,,,False
4O9R,4QIN,30,36,6,0,,,False
4O9R,5L7I,30,27,0,0,,,False
4O9R,5V57,30,39,0,0,,,False
4QIM,4QIN,33,36,7,0,,,False
4QIM,5L7I,33,27,10,0,,,False
4QIM,5V57,33,39,15,0,,,False
4QIN,5L7I,36,27,9,0,,,False
4QIN,5V57,36,39,14,0,,,False
5L7I,5V57,27,39,12,0,,,False
