L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
1DB1,1IE8,30,33,23,0,,,False
1DB1,1S0Z,30,33,28,0,,,False
1DB1,1S19,30,30,26,0,,,False
1DB1,1TXI,30,29,29,0,,,False
1DB1,2HAM,30,33,30,0,,,False
1DB1,2HAR,30,35,30,0,,,False
1DB1,2HAS,30,34,30,0,,,False
1DB1,2HB7,30,34,30,0,,,False
1DB1,2HB8,30,31,30,0,,,False
1DB1,3A2I,30,31,24,0,,,False
1DB1,3A3Z,30,33,24,0,,,False
1DB1,3A40,30,33,24,0,,,False
1DB1,3A78,30,30,30,0,,,False
1DB1,3AUQ,30,30,29,0,,,False
1DB1,3AX8,30,32,30,0,,,False
1DB1,3AZ1,30,32,0,0,,,False
1DB1,3AZ2,30,35,6,0,,,False
1DB1,3AZ3,30,36,6,0,,,False
1DB1,3B0T,30,30,23,0,,,False
1DB1,3CS4,30,32,24,0,,,False
1DB1,3CS6,30,32,24,0,,,False
1DB1,3KPZ,30,33,28,0,,,False
1DB1,3OGT,30,32,23,0,,,False
1DB1,3P8X,30,30,21,0,,,False
1IE8,1S0Z,33,33,23,0,,,False
1IE8,1S19,33,30,23,0,,,False
1IE8,1TXI,33,29,22,0,,,False
1IE8,2HAM,33,33,23,0,,,False
1IE8,2HAR,33,35,23,0,,,False
1IE8,2HAS,33,34,23,0,,,False
1IE8,2HB7,33,34,23,0,,,False
1IE8,2HB8,33,31,23,0,,,False
1IE8,3A2I,33,31,23,0,,,False
1IE8,3A3Z,33,33,23,0,,,False
1IE8,3A40,33,33,23,0,,,False
1IE8,3A78,33,30,23,0,,,False
1IE8,3AUQ,33,30,22,0,,,False
1IE8,3AX8,33,32,23,0,,,False
1IE8,3AZ1,33,32,0,0,,,False
1IE8,3AZ2,33,35,6,0,,,False
1IE8,3AZ3,33,36,7,0,,,False
1IE8,3B0T,33,30,28,0,,,False
1IE8,3CS4,33,32,23,0,,,False
1IE8,3CS6,33,32,23,0,,,False
1IE8,3KPZ,33,33,23,0,,,False
1IE8,3OGT,33,32,23,0,,,False
1IE8,3P8X,33,30,21,0,,,False
1S0Z,1S19,33,30,26,0,,,False
1S0Z,1TXI,33,29,27,0,,,False
1S0Z,2HAM,33,33,28,0,,,False
1S0Z,2HAR,33,35,28,0,,,False
1S0Z,2HAS,33,34,28,0,,,False
1S0Z,2HB7,33,34,28,0,,,False
1S0Z,2HB8,33,31,28,0,,,False
1S0Z,3A2I,33,31,24,0,,,False
1S0Z,3A3Z,33,33,24,0,,,False
1S0Z,3A40,33,33,24,0,,,False
1S0Z,3A78,33,30,28,0,,,False
1S0Z,3AUQ,33,30,27,0,,,False
1S0Z,3AX8,33,32,28,0,,,False
1S0Z,3AZ1,33,32,0,0,,,False
1S0Z,3AZ2,33,35,6,0,,,False
1S0Z,3AZ3,33,36,6,0,,,False
1S0Z,3B0T,33,30,23,0,,,False
1S0Z,3CS4,33,32,24,0,,,False
1S0Z,3CS6,33,32,24,0,,,False
1S0Z,3KPZ,33,33,27,0,,,False
1S0Z,3OGT,33,32,23,0,,,False
1S0Z,3P8X,33,30,21,0,,,False
1S19,1TXI,30,29,25,0,,,False
1S19,2HAM,30,33,26,0,,,False
1S19,2HAR,30,35,26,0,,,False
1S19,2HAS,30,34,26,0,,,False
1S19,2HB7,30,34,26,0,,,False
1S19,2HB8,30,31,26,0,,,False
1S19,3A2I,30,31,24,0,,,False
1S19,3A3Z,30,33,24,0,,,False
1S19,3A40,30,33,24,0,,,False
1S19,3A78,30,30,26,0,,,False
1S19,3AUQ,30,30,25,0,,,False
1S19,3AX8,30,32,26,0,,,False
1S19,3AZ1,30,32,0,0,,,False
1S19,3AZ2,30,35,6,0,,,False
1S19,3AZ3,30,36,6,0,,,False
1S19,3B0T,30,30,23,0,,,False
1S19,3CS4,30,32,24,0,,,False
1S19,3CS6,30,32,24,0,,,False
1S19,3KPZ,30,33,26,0,,,False
1S19,3OGT,30,32,23,0,,,False
1S19,3P8X,30,30,21,0,,,False
1TXI,2HAM,29,33,29,0,,,False
1TXI,2HAR,29,35,29,0,,,False
1TXI,2HAS,29,34,29,0,,,False
1TXI,2HB7,29,34,29,0,,,False
1TXI,2HB8,29,31,29,0,,,False
1TXI,3A2I,29,31,23,0,,,False
1TXI,3A3Z,29,33,23,0,,,False
1TXI,3A40,29,33,23,0,,,False
1TXI,3A78,29,30,29,0,,,False
1TXI,3AUQ,29,30,29,0,,,False
1TXI,3AX8,29,32,29,0,,,False
1TXI,3AZ1,29,32,0,0,,,False
1TXI,3AZ2,29,35,6,0,,,False
1TXI,3AZ3,29,36,6,0,,,False
1TXI,3B0T,29,30,22,0,,,False
1TXI,3CS4,29,32,23,0,,,False
1TXI,3CS6,29,32,23,0,,,False
1TXI,3KPZ,29,33,27,0,,,False
1TXI,3OGT,29,32,22,0,,,False
1TXI,3P8X,29,30,20,0,,,False
2HAM,2HAR,33,35,30,0,,,False
2HAM,2HAS,33,34,30,0,,,False
2HAM,2HB7,33,34,33,0,,,False
2HAM,2HB8,33,31,31,0,,,False
2HAM,3A2I,33,31,24,0,,,False
2HAM,3A3Z,33,33,25,0,,,False
2HAM,3A40,33,33,25,0,,,False
2HAM,3A78,33,30,30,0,,,False
2HAM,3AUQ,33,30,30,0,,,False
2HAM,3AX8,33,32,30,0,,,False
2HAM,3AZ1,33,32,0,0,,,False
2HAM,3AZ2,33,35,6,0,,,False
2HAM,3AZ3,33,36,6,0,,,False
2HAM,3B0T,33,30,23,0,,,False
2HAM,3CS4,33,32,24,0,,,False
2HAM,3CS6,33,32,24,0,,,False
2HAM,3KPZ,33,33,28,0,,,False
2HAM,3OGT,33,32,23,0,,,False
2HAM,3P8X,33,30,21,0,,,False
2HAR,2HAS,35,34,33,0,,,False
2HAR,2HB7,35,34,30,0,,,False
2HAR,2HB8,35,31,30,0,,,False
2HAR,3A2I,35,31,24,0,,,False
2HAR,3A3Z,35,33,24,0,,,False
2HAR,3A40,35,33,24,0,,,False
2HAR,3A78,35,30,30,0,,,False
2HAR,3AUQ,35,30,29,0,,,False
2HAR,3AX8,35,32,30,0,,,False
2HAR,3AZ1,35,32,0,0,,,False
2HAR,3AZ2,35,35,6,0,,,False
2HAR,3AZ3,35,36,6,0,,,False
2HAR,3B0T,35,30,23,0,,,False
2HAR,3CS4,35,32,24,0,,,False
2HAR,3CS6,35,32,24,0,,,False
2HAR,3KPZ,35,33,28,0,,,False
2HAR,3OGT,35,32,23,0,,,False
2HAR,3P8X,35,30,21,0,,,False
2HAS,2HB7,34,34,30,0,,,False
2HAS,2HB8,34,31,30,0,,,False
2HAS,3A2I,34,31,24,0,,,False
2HAS,3A3Z,34,33,24,0,,,False
2HAS,3A40,34,33,24,0,,,False
2HAS,3A78,34,30,30,0,,,False
2HAS,3AUQ,34,30,29,0,,,False
2HAS,3AX8,34,32,30,0,,,False
2HAS,3AZ1,34,32,0,0,,,False
2HAS,3AZ2,34,35,6,0,,,False
2HAS,3AZ3,34,36,6,0,,,False
2HAS,3B0T,34,30,23,0,,,False
2HAS,3CS4,34,32,24,0,,,False
2HAS,3CS6,34,32,24,0,,,False
2HAS,3KPZ,34,33,28,0,,,False
2HAS,3OGT,34,32,23,0,,,False
2HAS,3P8X,34,30,21,0,,,False
2HB7,2HB8,34,31,31,0,,,False
2HB7,3A2I,34,31,24,0,,,False
2HB7,3A3Z,34,33,25,0,,,False
2HB7,3A40,34,33,25,0,,,False
2HB7,3A78,34,30,30,0,,,False
2HB7,3AUQ,34,30,30,0,,,False
2HB7,3AX8,34,32,30,0,,,False
2HB7,3AZ1,34,32,0,0,,,False
2HB7,3AZ2,34,35,6,0,,,False
2HB7,3AZ3,34,36,6,0,,,False
2HB7,3B0T,34,30,23,0,,,False
2HB7,3CS4,34,32,24,0,,,False
2HB7,3CS6,34,32,24,0,,,False
2HB7,3KPZ,34,33,28,0,,,False
2HB7,3OGT,34,32,23,0,,,False
